Class,Species,Order,Mass,Tb,Tlc,BMR,Cmin,BMR.res,Cmin.res,A,I
Mammals,Gerbillurus paeba,Rodentia,31.13,36,33.3,27.7,10.26,-0.18,0.21,0.39,0.53
Mammals,Gerbillus andersoni,Rodentia,35.8,37,28,39.4,4.38,-0.07,-0.2,-0.13,1
Mammals,Gerbillus nanus,Rodentia,28.2,38.8,33,22,3.79,-0.25,-0.2,0.05,0
Mammals,Heterocephalus glaber,Rodentia,39.2,32.3,32,21.6,72,-0.36,1,1.36,0.73
Mammals,Heteromys anomalus,Rodentia,69.3,36,26,100.5,10.05,0.13,0,-0.13,0
Mammals,Hydrochoerus hydrochaeris,Rodentia,26400,37.1,22,6600,437.09,0.07,0.18,0.11,1
Mammals,Hystrix africaeaustralis,Rodentia,11100,37,24,2319.9,178.45,-0.11,0.01,0.12,0.06
Mammals,Isthmomys pirrensis,Rodentia,140.4,37.5,30,123.6,16.48,0,0.04,0.04,1
Mammals,Jaculus jaculus,Rodentia,74.5,37,33,91.6,22.9,0.07,0.34,0.27,1
Mammals,Jaculus orientalis,Rodentia,139.1,37,28,139.1,15.46,0.05,0.02,-0.03,0
Mammals,Kerodon rupestris,Rodentia,442,38.2,27,282.9,25.26,-0.01,-0.05,-0.04,1
Mammals,Liomys irroratus,Rodentia,48.1,36.63,31,53.9,9.57,-0.03,0.07,0.1,0.7
Mammals,Liomys salvini,Rodentia,43.8,37.09,31,46.9,7.7,-0.06,0,0.06,0
Mammals,Loxodontomys micropus,Rodentia,62.3,37.2,22,97.8,6.43,0.15,-0.17,-0.32,0.53
Mammals,Microtus longicaudus,Rodentia,29.16,37.7,20,76.4,4.32,0.28,-0.15,-0.43,0.36
Mammals,Microtus montanus,Rodentia,30.79,37.5,26,81.6,7.1,0.29,0.05,-0.24,0
Mammals,Microtus ochrogaster,Rodentia,36.3,37.8,25,40.3,3.15,-0.07,-0.34,-0.27,1
Mammals,Myodes gapperi,Rodentia,23.3,37.6,26.5,48.5,4.37,0.15,-0.09,-0.24,0.39
Mammals,Myoprocta acouchy,Rodentia,914,35.4,25,502.7,48.34,0.02,0.05,0.03,1
Mammals,Myopus schisticolor,Rodentia,26.4,39,20.9,93.5,5.17,0.4,-0.05,-0.45,0.11
Mammals,Mystromys albicaudatus,Rodentia,93.78,37.5,20,126.8,7.25,0.13,-0.22,-0.35,0.62
Mammals,Napaeozapus insignis,Rodentia,20.9,37,31,92,15.33,0.47,0.48,0.01,1
Mammals,Notomys alexis,Rodentia,32.3,37.7,32,45.2,7.93,0.02,0.08,0.06,1
Mammals,Ochrotomys nuttalli,Rodentia,19.5,38.08,29.5,27.1,3.16,-0.04,-0.19,-0.15,1
Mammals,Octodon degus,Rodentia,206,37.6,27,191.6,18.08,0.07,-0.01,-0.08,0.13
Mammals,Octodontomys gliroides,Rodentia,152,37.2,25,130.7,10.71,-0.01,-0.16,-0.15,1
Mammals,Otomys irroratus,Rodentia,102,36.5,24,84.9,6.79,-0.07,-0.26,-0.19,1
Mammals,Pedetes capensis,Rodentia,2300,36,23,736,56.62,-0.11,-0.11,0,0
Mammals,Peromyscus eremicus,Rodentia,21.5,36.6,29,31.8,4.18,0,-0.09,-0.09,1
Mammals,Peromyscus leucopus,Rodentia,21.2,36,27.5,35.2,4.14,0.05,-0.09,-0.14,0.65
Mammals,Peromyscus truei,Rodentia,33.2,36.7,27,50.8,5.24,0.06,-0.1,-0.16,0.63
Mammals,Phyllotis darwini,Rodentia,59,37,27.5,71.4,7.52,0.03,-0.09,-0.12,0.74
Mammals,Priodontes maximus,Rodentia,45190,33.6,27,3027.7,458.74,-0.43,0.07,0.5,0.15
Mammals,Pseudomys hermannsburgensis,Rodentia,12.2,37.5,31,23.3,3.58,0.04,-0.02,-0.06,0.35
Mammals,Rattus fuscipes,Rodentia,130,37.4,28.1,141.7,15.24,0.08,0.03,-0.05,0
Mammals,Rattus villosissimus,Rodentia,250.6,38.9,30,220.5,24.78,0.06,0.08,0.02,1
Mammals,Saccostomus campestris,Rodentia,83.4,35.4,28,81.7,11.04,-0.02,0,0.02,0
Mammals,Spalacopus cyanus,Rodentia,178,36,26.5,112.1,11.8,-0.12,-0.16,-0.04,1
Mammals,Spalax leucodon,Rodentia,207.7,37,25,159.9,13.33,-0.02,-0.15,-0.13,1
Mammals,Spermophilus beecheyi,Rodentia,599.6,37.6,25,317.8,25.22,-0.05,-0.13,-0.08,1
Mammals,Tachyoryctes splendens,Rodentia,233.6,36.2,27,163.5,17.77,-0.04,-0.05,-0.01,1
Mammals,Tamias merriami,Rodentia,60.8,37,29,91.2,11.4,0.13,0.09,-0.04,0
Mammals,Thomomys bottae,Rodentia,143,36,28,120.1,15.01,-0.02,0,0.02,0
Mammals,Thomomys talpoides,Rodentia,106,35.5,26,141,14.84,0.14,0.07,-0.07,0
Mammals,Thomomys umbrinus,Rodentia,85,34.6,27,72.3,9.51,-0.08,-0.07,0.01,0
Mammals,Thrichomys apereoides,Rodentia,323,37.6,25,206.7,16.4,-0.04,-0.16,-0.12,1
Mammals,Tupaia belangeri,Scandentia,100.86,39.4,30,139.2,14.81,0.15,0.08,-0.07,0
Mammals,Tupaia glis,Scandentia,123,37,30,93.5,13.36,-0.08,-0.02,0.06,0
Mammals,Blarina brevicauda,Soricomorpha,20.5,38,25,66,5.08,0.33,0,-0.33,0
Mammals,Condylura cristata,Soricomorpha,49,37.7,24.5,110.3,8.36,0.28,0.01,-0.27,0
Mammals,Neurotrichus gibbsii,Soricomorpha,11.8,38.7,25,46.5,3.39,0.35,-0.04,-0.39,0.1
Mammals,Notiosorex crawfordi,Soricomorpha,4,38,32,13.1,2.18,0.14,0.04,-0.1,0
Mammals,Scalopus aquaticus,Soricomorpha,48,36,26,67.7,6.77,0.07,-0.08,-0.15,0.54
Birds,Buteo buteo,Accipitriformes,1012,39.8,13,646.3,24.12,0.05,-0.06,-0.11,0.56
Birds,Anas aucklandica,Anseriformes,373.1,41.3,30,322.7,28.56,0.02,0.23,0.21,1
Birds,Anas castanea,Anseriformes,483.3,41.5,24,327.9,18.74,-0.04,-0.01,0.03,0
Birds,Anas gracilis,Anseriformes,393.7,41.3,30,572.7,50.68,0.26,0.47,0.21,1
Birds,Anas rhynchotis,Anseriformes,508,40.9,22,452.7,23.95,0.08,0.09,0.01,1
Birds,Aythya novaeseelandiae,Anseriformes,488.4,40,16,401.5,16.73,0.04,-0.06,-0.1,0.6
Birds,Hymenolaimus malacorhynchos,Anseriformes,717.1,41,12,540.6,18.64,0.07,-0.1,-0.17,0.59
Birds,Tadorna variegata,Anseriformes,1193.6,40.2,22,575.5,31.62,-0.05,0.02,0.07,0.26
Birds,Collocalia esculenta,Apodiformes,6.8,38.2,31.5,13.9,2.07,-0.22,-0.02,0.2,0
Birds,Collocalia vanikorensis,Apodiformes,11.6,38.9,30,20.6,2.31,-0.2,-0.09,0.11,0
Birds,Aegotheles cristatus,Caprimulgiformes,45.56,38.2,31,55.9,7.76,-0.15,0.13,0.28,0.46
Birds,Caprimulgus macrurus,Caprimulgiformes,68.6,38.1,26,53.5,4.42,-0.28,-0.21,0.07,0
Birds,Caprimulgus vociferus,Caprimulgiformes,46,37,25,55.9,4.66,-0.15,-0.09,0.06,0
Birds,Chordeiles minor,Caprimulgiformes,72,40,30,76,7.6,-0.14,0.02,0.16,0.12
Birds,Eurostopodus mystacalis,Caprimulgiformes,162,40.1,30,82.7,8.19,-0.33,-0.13,0.2,0
Birds,Phalaenoptilus nuttallii,Caprimulgiformes,40,40.2,35,30.6,5.88,-0.37,0.04,0.41,0.09
Birds,Podargus strigoides,Caprimulgiformes,380.3,38.6,30,177.8,20.67,-0.24,0.09,0.33,0.26
Birds,Calidris alpina,Charadriiformes,53,37.6,28.2,83.2,8.85,-0.02,0.15,0.17,0.88
Birds,Calidris minuta,Charadriiformes,29,39,28,53.1,4.83,-0.05,0.02,0.07,0.32
Birds,Cepphus grylle,Charadriiformes,342.2,39.9,7,520.1,15.81,0.26,-0.01,-0.27,0.03
Birds,Haematopus ostralegus,Charadriiformes,385.4,39.1,19,524.4,26.09,0.23,0.18,-0.05,0
Birds,Pluvialis apricaria,Charadriiformes,151,38.9,18,213.7,10.22,0.1,-0.02,-0.12,0.13
Birds,Rissa tridactyla,Charadriiformes,365,40.2,5,569.8,16.19,0.28,-0.01,-0.29,0.04
Birds,Sterna fuscata,Charadriiformes,176.75,39.3,28,137.7,12.19,-0.14,0.03,0.17,0.16
Birds,Uria lomvia,Charadriiformes,819,39.6,2,872.4,23.2,0.24,-0.03,-0.27,0.12
Birds,Bubulcus ibis,Ciconiiformes,299.2,40,25,171.6,11.44,-0.19,-0.12,0.07,0
Birds,Egretta thula,Ciconiiformes,314,40.2,26,233.7,16.46,-0.07,0.03,0.1,0.3
Birds,Egretta tricolor,Ciconiiformes,309,40.4,29,292.5,25.66,0.03,0.23,0.2,1
Birds,Colius colius,Coliiformes,40.2,37,29,30.6,3.83,-0.38,-0.15,0.23,0
Birds,Colius striatus,Coliiformes,51,39,25,40.6,2.9,-0.32,-0.32,0,1
Birds,Urocolius macrourus,Coliiformes,51.3,40.6,29,38.5,3.32,-0.34,-0.27,0.07,0
Birds,Caloenas nicobarica,Columbiformes,613,40.9,25,312.1,19.63,-0.13,-0.04,0.09,0
Birds,Columba livia,Columbiformes,467,41.6,23,247.6,13.31,-0.15,-0.15,0,1
Birds,Columba vitiensis,Columbiformes,467.9,39.9,22,248.3,13.87,-0.15,-0.13,0.02,0
Birds,Columbina inca,Columbiformes,41.5,40.2,32,44.9,5.48,-0.22,0,0.22,0
Birds,Drepanoptila holosericea,Columbiformes,198,39,27,142,11.83,-0.16,-0.01,0.15,0
Birds,Ducula bicolor,Columbiformes,453,40.9,26,234.7,15.75,-0.17,-0.07,0.1,0
Birds,Ducula pacifica,Columbiformes,333.4,39.8,27.5,135.8,11.04,-0.32,-0.16,0.16,0
Birds,Ducula pinon,Columbiformes,583.8,39.7,23,306.4,18.35,-0.12,-0.06,0.06,0
Birds,Ducula pistrinaria,Columbiformes,394.2,40.8,27,184.5,13.37,-0.23,-0.11,0.12,0
Birds,Ducula rubricera,Columbiformes,418.8,40.8,24,234.7,13.97,-0.15,-0.11,0.04,0
Birds,Ducula rufigaster,Columbiformes,376.7,40.6,26,218.9,14.99,-0.15,-0.05,0.1,0
Birds,Ducula zoeae,Columbiformes,456.2,40.2,19,293,13.82,-0.07,-0.13,-0.06,1
Birds,Geopelia cuneata,Columbiformes,39,39,34,45.9,9.18,-0.19,0.24,0.43,0.55
Birds,Geophaps plumifera,Columbiformes,89,40.5,33,72.7,9.69,-0.22,0.08,0.3,0.26
Birds,Goura cristata,Columbiformes,2313.4,40.9,19,734.2,33.53,-0.13,-0.1,0.03,0
Birds,Gymnophaps albertisii,Columbiformes,241.6,39.2,22,162.5,9.45,-0.15,-0.15,0,1
Birds,Hemiphaga novaeseelandiae,Columbiformes,435.6,40.4,20,324.1,15.89,-0.02,-0.06,-0.04,1
Birds,Leucosarcia melanoleuca,Columbiformes,468,40.7,24,287.8,17.23,-0.09,-0.04,0.05,0
Birds,Oena capensis,Columbiformes,36,39,32,42.1,6.01,-0.21,0.07,0.28,0.25
Birds,Ptilinopus melanospilus,Columbiformes,98,38.9,30,84.1,9.45,-0.19,0.05,0.24,0.19
Birds,Ptilinopus perlatus,Columbiformes,196,39.5,24,182.6,11.78,-0.04,-0.01,0.03,0
Birds,Zenaida macroura,Columbiformes,91.4,40.5,30,111.4,10.61,-0.04,0.11,0.15,0.74
Birds,Aceros plicatus,Coraciiformes,1965,40.1,16,929.7,38.58,0.02,-0.01,-0.03,0.23
Birds,Dacelo novaeguineae,Coraciiformes,336,37,20,192.2,11.31,-0.17,-0.15,0.02,0
Birds,Phoeniculus purpureus,Coraciiformes,72.19,39.3,23.1,113.8,7.02,0.03,-0.02,-0.05,0.34
Birds,Todus mexicanus,Coraciiformes,6.3,36.7,29,19.6,2.55,-0.05,0.08,0.13,0.62
Birds,Guira guira,Cuculiformes,140,40,27,185.9,14.3,0.06,0.15,0.09,1
Birds,Daptrius ater,Falconiformes,362,39.1,19.5,206.5,10.54,-0.16,-0.2,-0.04,1
Birds,Falco rupicoloides,Falconiformes,214,40,15,247.5,9.9,0.06,-0.11,-0.17,0.64
Birds,Falco sparverius,Falconiformes,116,40.2,25,113.8,7.49,-0.1,-0.09,0.01,0
Birds,Alectoris chukar,Galliformes,475,40.7,24,337.5,20.21,-0.02,0.03,0.05,0.58
Birds,Callipepla gambelii,Galliformes,125.5,40,34,130,21.67,-0.07,0.35,0.42,0.83
Birds,Coturnix chinensis,Galliformes,44.9,39,27,63.1,5.26,-0.09,-0.04,0.05,0
Birds,Coturnix coturnix,Galliformes,97,41.8,16,153.4,5.95,0.08,-0.15,-0.23,0.66
Birds,Coturnix japonica,Galliformes,166,39.5,25,255.7,17.63,0.15,0.2,0.05,1
Birds,Coturnix pectoralis,Galliformes,95.8,41.6,27,109.5,7.5,-0.07,-0.05,0.02,0
Birds,Lagopus leucura,Galliformes,326,39.9,6,406.3,11.99,0.16,-0.12,-0.28,0.42
Birds,Leipoa ocellata,Galliformes,1390,39.7,22,691.2,39.05,-0.01,0.08,0.09,0.88
Birds,Syrmaticus humiae,Galliformes,398.83,40.36,24.5,773.9,48.8,0.39,0.45,0.06,1
Birds,Aramides cajanea,Gruiformes,374.3,40.2,30,265.3,26.01,-0.06,0.19,0.25,0.76
Birds,Fulica atra,Gruiformes,387,39.6,20,404.9,20.66,0.11,0.08,-0.03,0
Birds,Gallinula mortierii,Gruiformes,954.4,39.4,15,548.3,22.47,-0.01,-0.08,-0.07,1
Birds,Gallinula tenebrosa,Gruiformes,512.4,39.4,17,402.5,17.97,0.03,-0.04,-0.07,0.58
