Class,HighTaxon,Taxon,Species,Mass,BMR,Reference
Birds,Passeriformes,Passeri,Lepidothrix_coronata,9.2,27,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Lepidothrix_coronata,10.6,36.36,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Leptocoma_minima,5.5,21,Seavy 2006
Birds,Passeriformes,Passeri,Leptocoma_sperata,5.1,24.28,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Leptopogon_amaurocephalus,14.1,40,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Leptopogon_superciliaris,12.9,45.45,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Lichmera_indistincta,10.1,38,Vitali et al. 1999
Birds,Passeriformes,Passeri,Linaria_cannabina,16.9,61,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Lipaugus_vociferans,86.6,138.18,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Lochmias_nematura,30.5,61.82,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Locustella_lanceolata,9.45,32.72,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Lonchura_cucullata,10.6,19.5,Lovegrove & Smith 2003
Birds,Passeriformes,Passeri,Lonchura_fuscans,9.5,18,Weathers 1977
Birds,Passeriformes,Passeri,Lonchura_maja,12.8,27.5,"Hails, 1983"
Birds,Passeriformes,Passeri,Lonchura_malacca,11.8,25.5,"Hails, 1983"
Birds,Passeriformes,Passeri,Lonchura_oryzivora,25.4,55.5,Marschell & Prinzinger 1991
Birds,Passeriformes,Passeri,Lonchura_punctulata,12.23,37.6,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Lonchura_striata,9.74,33.2,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Lonchura_striata,10.3,38.5,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Lophorina_superba,74.6,130,McNab 2005
Birds,Passeriformes,Passeri,Lophotriccus_pileatus,8.2,34.55,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Loxia_curvirostra,39.4,108,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Loxia_leucoptera,29.8,83.5,Dawson & Tordoff 1964
Birds,Passeriformes,Passeri,Loxia_pytyopsittacus,53.7,143.5,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Loxioides_bailleui,34.8,80.5,Weathers & van Riper 1982
Birds,Passeriformes,Passeri,Loxioides_bailleui,36,80.5,"Weathers, van Riper, 1982"
Birds,Passeriformes,Passeri,Lullula_arborea,25.5,103,Tieleman et al. 2002
Birds,Passeriformes,Passeri,Luscinia_svecica,20.8,64.5,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Machaerirhynchus_nigripectus,9.7,41.5,"McNab, pers. obs."
Birds,Passeriformes,Passeri,Machaeropterus_pyrocephalus,10,43.64,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Macronus_gularis,11.27,31.86,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Macronus_kelleyi,9.47,30.48,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Magumma_parva,7.9,25.5,"MacMillen, 1981"
Birds,Passeriformes,Passeri,Malacocincla_abbotti,25.63,53.55,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Malacopteron_cinereum,14.33,36.87,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Malacopteron_cinereum,15.8,38,"Hails,1983"
Birds,Passeriformes,Passeri,Malurus_cyaneus,8.7,31.8,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Malurus_lamberti,7.8,33,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Manacus_vitellinus,15.5,42,Bartholomew et al. 1983
Birds,Passeriformes,Passeri,Manorina_flavigula,41.1,109.8,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Manucodia_chalybatus,177.2,247,McNab 2005
Birds,Passeriformes,Passeri,Margarornis_squamiger,16.7,49.09,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Mecocerculus_leucophrys,13.9,27.27,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Mecocerculus_stictopterus,10.9,40,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Melanocharis_versteri,13.6,44,"McNab,2009."
Birds,Passeriformes,Passeri,Melanorectes_nigrescens,70.5,113.5,"McNab, 2009."
Birds,Passeriformes,Passeri,Melidectes_rufocrissalis,62.8,140,"McNab, 2009."
Birds,Passeriformes,Passeri,Meliphaga_lewinii,36.2,96,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Melipotes_fumigatus,57.1,122,"McNab, 2009."
Birds,Passeriformes,Passeri,Melithreptus_lunatus,14.3,45,Vitali et al. 1999
Birds,Passeriformes,Passeri,Melospiza_georgiana,14.9,38,Yarbrough 1971
Birds,Passeriformes,Passeri,Melospiza_melodia,19.1,45,Yarbrough 1971
Birds,Passeriformes,Passeri,Melozone_aberti,46.6,131,"Dawson, 1954"
Birds,Passeriformes,Passeri,Melozone_fusca,43.7,119.5,"Dawson, 1954"
Birds,Passeriformes,Passeri,Microcerculus_marginatus,19.4,60,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Mimus_gilvus,68.9,133,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Mimus_polyglottos,44.2,122,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Mionectes_macconnelli,11.4,29.09,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Mionectes_oleagineus,11.4,32.73,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Mionectes_oleagineus,10.3,29.5,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Mionectes_olivaceus,15.7,50.91,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Mionectes_striaticollis,14.7,49.09,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Molothrus_ater,42.5,90.5,"Hinds, Calder, 1973"
Birds,Passeriformes,Passeri,Monticola_gularis,27,49.2,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Motacilla_alba,18,54,Gavrilov & Dol’nik 1985
Birds,Passeriformes,Passeri,Motacilla_flava,14.7,46.5,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Muscicapa_dauurica,9.23,34.96,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Muscicapa_striata,14.4,44.5,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Muscisaxicola_fluviatilis,13.6,47.27,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myadestes_ralloides,28.8,70.91,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myiarchus_crinitus,33.9,69,Yarbrough 1971
Birds,Passeriformes,Passeri,Myiobius_villosus,14.7,54.55,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myioborus_melanocephalus,11.7,38.18,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myioborus_miniatus,9.8,36.36,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myiodynastes_maculatus,41,106,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Myiotheretes_fuscorufus,29.2,94.55,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myiothlypis_bivittata,15.5,54.55,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myiothlypis_chrysogaster,14.4,50.91,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myiothlypis_coronata,17.4,60,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myiothlypis_fulvicauda,12.8,63.64,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myiothlypis_luteoviridis,14.7,43.64,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myiothlypis_signata,14.3,40,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myiozetetes_similis,27.1,52.73,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myrmeciza_longipes,27.4,58.5,Wiesma et al. 2007
Birds,Passeriformes,Passeri,Myrmelastes_leucostigma,17.8,32.73,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myrmoborus_leucophrys,19.8,60,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myrmoborus_lophotes,31.6,60,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myrmoborus_myotherinus,21.2,50.91,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myrmotherula_axillaris,8.9,34.55,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myrmotherula_axillaris,9.6,39,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Myrmotherula_longipennis,9.6,40,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myrmotherula_menetriesii,9.3,50.91,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Myrmotherula_schisticolor,8.3,45.45,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Nectarinia_kilimensis,16.2,47,Seavy 2006
Birds,Passeriformes,Passeri,Nectarinia_tacazze,13.5,44,Prinzinger et al. 1989
Birds,Passeriformes,Passeri,Neochmia_temporalis,9.6,31.8,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Neosericornis_citreogularis,16.9,65.4,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Nucifraga_caryocatactes,147,242.5,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Ochthoeca_rufipectoralis,10.9,36.36,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Oneillornis_salvini,27.1,58.18,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Onychorhynchus_coronatus,14,54.55,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Oreocharis_arfaki,22.3,58,"McNab, pers. obs."
Birds,Passeriformes,Passeri,Oreostruthus_fuliginosus,16,29.5,"McNab, pers. obs."
Birds,Passeriformes,Passeri,Origma_robusta,17.3,45.5,"McNab, 2009"
Birds,Passeriformes,Passeri,Oriolus_oriolus,64.9,117,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Oriolus_xanthornus,59.9,112.02,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Orthotomus_atrogularis,6.73,27.35,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Oryzoborus_angolensis,12.3,36,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Pachycephala_pectoralis,24,64.8,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Pachycephala_schlegelii,22.6,50,"McNab, pers. obs."
Birds,Passeriformes,Passeri,Pachycephala_soror,23.3,65.5,"McNab, pers. obs."
Birds,Passeriformes,Passeri,Paradisaea_raggiana,215.7,337.5,McNab 2005
Birds,Passeriformes,Passeri,Paradisaea_rudolphi,156.1,274,McNab 2005
Birds,Passeriformes,Passeri,Paramythia_montium,40.3,75,"McNab, pers. obs."
Birds,Passeriformes,Passeri,Pardalotus_punctatus,7.8,39.6,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Parkesia_noveboracensis,18.7,50.5,Yarbrough 1971
Birds,Passeriformes,Passeri,Parotia_lawesii,144.9,206.5,McNab 2005
Birds,Passeriformes,Passeri,Parotia_wahnesi,164.2,232,McNab 2005
Birds,Passeriformes,Passeri,Parus_major,16.5,63,Reinertsen & Haftorn 1986
Birds,Passeriformes,Passeri,Passer_domesticus,23,56.4,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Passer_domesticus,23,66,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Passer_montanus,22.3,73,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Passerculus_sandwichensis,15.9,40,Williams & Hansell 1981
Birds,Passeriformes,Passeri,Passerella_iliaca,31.7,98.5,"Lasiewski, Dawson, 1967"
Birds,Passeriformes,Passeri,Pellorneum_ruficeps,21.85,53.32,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Pellorneum_tickelli,15.8,39.29,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Peneothello_cyanus,23.8,63,"McNab, pers. obs."
Birds,Passeriformes,Passeri,Peneothello_sigillata,21.6,56,"McNab, pers. obs."
Birds,Passeriformes,Passeri,Periparus_ater,10.8,42.5,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Perisoreus_canadensis,71.2,122,"Veghte, 1964"
Birds,Passeriformes,Passeri,Pheugopedius_fasciatoventris,27.2,56,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Philemon_buceroides,140.5,253,Bonaccorso &
Birds,Passeriformes,Passeri,Philydor_erythrocercum,38.2,76.36,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Phlegopsis_nigromaculata,47.1,87.27,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Phoenicurus_ochruros,13.8,43.5,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Phoenicurus_phoenicurus,13,42,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Phonygammus_keraudrenii,170.7,215.5,McNab 2005
Birds,Passeriformes,Passeri,Phyllastrephus_hypochloris,18.9,47.5,Seavy & McNab 2007
Birds,Passeriformes,Passeri,Phylloscopus_collybita,8.2,29.5,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Phylloscopus_inornatus,7.7,53.92,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Phylloscopus_plumbeitarsus,5.95,21.08,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Phylloscopus_schwarzi,7.8,28.17,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Phylloscopus_sibilatrix,9.2,31.5,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Phylloscopus_tenellipes,7,28.94,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Phylloscopus_trochilus,10.7,37.5,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Phytotoma_rara,41.6,103,Rezende et al. 2001
Birds,Passeriformes,Passeri,Pica_nuttalli,151.9,264,Hayworth & Weathers 1984
Birds,Passeriformes,Passeri,Pica_pica,158.9,215.5,Hayworth & Weathers 1984
Birds,Passeriformes,Passeri,Pinicola_enucleator,78.4,195.5,Gavrilov & Dol’nik 1985
Birds,Passeriformes,Passeri,Pipra_fasciicauda,16.4,47.27,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Pipraeidea_melanonota,20.3,69.09,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Pipreola_arcuata,93,109.09,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Pipreola_intermedia,49.6,110.91,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Pitta_moluccensis,74.38,96.62,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Pitta_versicolor,83.1,102,McNab 2009
Birds,Passeriformes,Passeri,Platyrinchus_coronatus,10.8,29.09,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Platyrinchus_platyrhynchos,14,54.55,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Plectrophenax_nivalis,41.8,99.5,"Scholander et al,,1950"
Birds,Passeriformes,Passeri,Plesiodryas_albonotata,36.4,81,"McNab, 2009."
Birds,Passeriformes,Passeri,Ploceus_philippinus,22.06,59.89,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Poecile_atricapillus,10.3,45.5,Rising & Hudson 1974
Birds,Passeriformes,Passeri,Poecile_montanus,11.6,49.5,Reinertsen & Haftorn 1986
Birds,Passeriformes,Passeri,Pogonotriccus_ophthalmicus,8.8,43.64,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Poliocrania_exsul,28.3,52,Wiesma et al. 2007
Birds,Passeriformes,Passeri,Pomatorhinus_hypoleucos,83.8,148.65,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Pomatorhinus_schisticeps,36,75.16,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Pomatostomus_ruficeps,45.4,79.2,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Pomatostomus_superciliosus,36.1,61.8,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Pooecetes_gramineus,21.5,49,Yarbrough 1971
Birds,Passeriformes,Passeri,Premnoplex_brunnescens,15.7,58.18,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Prinia_flaviventris,7.16,26.78,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Prinia_hodgsonii,7.21,33.58,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Prinia_inornata,10.25,41.04,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Progne_chalybea,34.9,84,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Prosthemadera_novaeseelandiae,144.2,199,McNab 2009.
Birds,Passeriformes,Passeri,Protonotaria_citrea,12.8,36,Yarbrough 1971
Birds,Passeriformes,Passeri,Prunella_modularis,16.8,58.5,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Psaltriparus_minimus,5.5,23,Chaplin 1982
Birds,Passeriformes,Passeri,Pseudocolaptes_boissonneautii,42.9,100,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Psophodes_olivaceus,61,127.2,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Ptiloprora_guisei,20.7,52.5,"McNab, 2009."
Birds,Passeriformes,Passeri,Ptiloris_magnificus,179.4,270,McNab 2005
Birds,Passeriformes,Passeri,Pycnonotus_atriceps,21.54,52.37,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Pycnonotus_aurigaster,27,57.02,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Pycnonotus_barbatus,40.3,86,Seavy & McNab 2007
Birds,Passeriformes,Passeri,Pycnonotus_blanfordi,28.83,55.29,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Pycnonotus_finlaysoni,25.91,54.7,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Pycnonotus_finlaysoni,26.3,40.5,"Hails, 1983"
Birds,Passeriformes,Passeri,Pycnonotus_goiavier,28.6,44,"Hails, 1983"
Birds,Passeriformes,Passeri,Pycnonotus_jocosus,32.9,64.2,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Pycnonotus_melanicterus,22.93,52.85,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Pyriglena_leuconota,32.1,100,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Pyrrhocorax_graculus,206.4,308.5,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Pyrrhomyias_cinnamomeus,10.7,36.36,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Pyrrhula_pyrrhula,30.4,99.5,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Quiscalus_mexicanus,137.3,203,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Quiscalus_quiscula,92.2,178,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Ramphocelus_carbo,26.5,52.73,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Ramphocelus_dimidiatus,26.4,66,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Ramphocelus_flammigerus,32,75,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Ramphotrigon_ruficauda,17.4,50.91,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Regulus_regulus,5.5,33,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Rhegmatorhina_melanosticta,42.2,74.55,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Rhipidura_albolimbata,9.7,29.5,"McNab,2009."
Birds,Passeriformes,Passeri,Rhipidura_atra,11,55.5,"McNab, 2009."
Birds,Passeriformes,Passeri,Rhipidura_fuliginosa,8.9,29.4,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Rhynchocyclus_fulvipectus,26,70.91,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Rhynchocyclus_olivaceus,21,54,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Riparia_riparia,13.6,42,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Rupicola_peruvianus,246.5,196.36,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Saltator_coerulescens,47,70,Bosque et al. 1999
Birds,Passeriformes,Passeri,Saltator_grossus,49.5,80,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Saltator_maximus,44.8,98.5,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Saltator_orenocensis,32.7,56.5,Bosque et al. 1999
Birds,Passeriformes,Passeri,Saltator_striatipectus,42.1,91.5,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Saxicola_caprata,13.45,36.8,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Saxicola_rubetra,14.3,43.5,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Saxicola_stejnegeri,11.56,48.59,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Saxicola_torquatus,16.5,46,Klaassen 1995
Birds,Passeriformes,Passeri,Sayornis_phoebe,21.6,62,Yarbrough 1971
Birds,Passeriformes,Passeri,Sciaphylax_hemimelaena,18,45.45,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Sclerurus_caudacutus,36.2,83.64,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Sclerurus_mexicanus,28.8,80,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Scytalopus_atratus,21.5,69.09,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Scytalopus_parvirostris,17,65.45,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Seiurus_aurocapilla,19,43.5,Yarbrough 1971
Birds,Passeriformes,Passeri,Sericornis_frontalis,11,33,Ambrose &
Birds,Passeriformes,Passeri,Sericornis_frontalis,13.2,57.6,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Sericornis_humilis,14.6,37,"Bradshaw 1988 McNab, 2009"
Birds,Passeriformes,Passeri,Sericornis_magnirostra,8.7,36.6,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Sericornis_nouhuysi,16.6,50.5,"McNab, 2009."
Birds,Passeriformes,Passeri,Serinus_canaria,13.3,41,"Gavrilov, Dolnik 1985"
Birds,Passeriformes,Passeri,Setophaga_americana,7,22,"Yarbrongh, 1971"
Birds,Passeriformes,Passeri,Setophaga_citrina,12,38.5,"Yarbrough, 1971"
Birds,Passeriformes,Passeri,Setophaga_coronata,11.5,34,Yarbrough 1971
Birds,Passeriformes,Passeri,Setophaga_dominica,9.8,29,Yarbrough 1971
Birds,Passeriformes,Passeri,Setophaga_palmarum,9.8,28,Yarbrough 1971
Birds,Passeriformes,Passeri,Setophaga_petechia,12.2,25,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Setophaga_pinus,12,32,Yarbrough 1971
Birds,Passeriformes,Passeri,Sialia_mexicana,27.5,76,Mock 1991
Birds,Passeriformes,Passeri,Silvicultrix_pulchella,12,30.91,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Silvicultrix_spodionota,10.7,30.91,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Sitta_canadensis,11.2,42,"Mugas, Templeton, 1970"
Birds,Passeriformes,Passeri,Sitta_carolinensis,18.3,52,Liknes & Swanson 1996
Birds,Passeriformes,Passeri,Sittasomus_griseicapillus,14.4,49.09,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Smicrornis_brevirostris,5.9,29.4,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Spinus_magellanicus,11.6,36.36,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Spinus_spinus,14,52.5,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Spinus_tristis,12.8,54.5,Dawson & Carey 1976
Birds,Passeriformes,Passeri,Spizella_passerina,11.9,35,Yarbrough 1971
Birds,Passeriformes,Passeri,Spizelloides_arborea,16.6,59.5,"Losiewski, Dawson, 1967"
Birds,Passeriformes,Passeri,Sporophila_americana,10.2,35.5,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Sporophila_castaneiventris,8.5,36.36,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Sporophila_nigricollis,8.9,36.36,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Stelgidopteryx_ruficollis,14,40,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Stelgidopteryx_ruficollis,11.9,28.5,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Strepera_graculina,306.7,339,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Sturnus_vulgaris,57.5,105.6,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Sturnus_vulgaris,75,158,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Sylvia_atricapilla,21.9,75,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Sylvia_borin,24.8,75,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Sylvia_curruca,10.6,36,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Sylvia_nisoria,21.3,69,Kendeigh et al. 1977
Birds,Passeriformes,Passeri,Symposiachrus_axillaris,17.5,90.5,"McNab, pers. obs."
Birds,Passeriformes,Passeri,Synallaxis_azarae,13.6,41.82,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Synallaxis_cabanisi,19.3,54.55,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Syndactyla_ucayalae,51.2,110.91,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Tachycineta_albilinea,11.7,45,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Tachycineta_bicolor,16.4,51.5,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Tachyphonus_luctuosus,12.5,58.18,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Taeniopygia_guttata,11.7,38.4,"Bech et al., 2016"
Birds,Passeriformes,Passeri,Taeniopygia_guttata,11.7,37,Calder 1964
Birds,Passeriformes,Passeri,Tangara_arthus,22.4,67.27,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Tangara_cyanicollis,16.3,63.64,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Tangara_larvata,16.2,42.5,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Tangara_vassorii,18.5,41.82,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Tangara_xanthogastra,15.1,38.18,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Tarsiger_cyanurus,14.8,42.5,Gavrilov & Dol’nik 1985
Birds,Passeriformes,Passeri,Telespiza_cantans,31.6,76.5,Weathers & van Riper 1982
Birds,Passeriformes,Passeri,Telespiza_cantans,32.8,79.5,"Weathers, van Riper, 1982"
Birds,Passeriformes,Passeri,Tephrodornis_virgatus,35.13,88.38,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Terenotriccus_erythrurus,9.3,43.64,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Terpsiphone_affinis,17,43.35,Bushuev et al. (unpublished)
Birds,Passeriformes,Passeri,Thamnomanes_ardesiacus,19.3,49.09,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Thamnomanes_schistogynus,19.7,61.82,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Thamnophilus_atrinucha,20.5,50.5,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Thamnophilus_doliatus,26.2,51.5,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Thamnophilus_palliatus,27.8,89.09,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Thamnophilus_punctatus,21,62,Vleck & Vleck 1979
Birds,Passeriformes,Passeri,Thlypopsis_ruficeps,11.9,41.82,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Thlypopsis_sordida,14.9,56.36,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Thraupis_bonariensis,34.8,101.82,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Thraupis_cyanocephala,38.2,83.64,"Londono et al., 2015"
Birds,Passeriformes,Passeri,Thraupis_episcopus,30.4,72,Wiersma et al. 2007
Birds,Passeriformes,Passeri,Thraupis_palmarum,32.6,71,Wiersma et al. 2007
