Class,Species,Mass,Tb,Tlc,BMR,Species.Map,Longitude,Latitude,MeanTemp,MaxTemp,MinTemp,Migration
Birds,Manucodia_chalybatus,177.2,40.5,20,236.1,Manucodia_chalybatus,144.0780211,-6.87018669,22.57036438,25.57962646,19.46256256,Resident
Birds,Manucodia_keraudrenii,170.7,40.4,25,206,Phonygammus_keraudrenii,140.681269,-5.71330076,26.77279358,28.37044373,24.9545105,Resident
Birds,Nectarinia_bifasciata,6.2,39,24,15.8,Cinnyris_bifasciatus,29.06935884,-12.39840707,22.06526031,30.3756134,13.49193115,Resident
Birds,Nectarinia_cuprea,7.1,41,31,25.4,Cinnyris_cupreus,17.53832136,-0.50798063,23.46762238,31.09247131,16.90966034,Resident
Birds,Nectarinia_kilimensis,16.2,40,25,44.9,Nectarinia_kilimensis,30.92803687,-4.90623919,19.75310669,27.13592834,13.05193329,Resident
Birds,Nectarinia_senegalensis,13.7,40,30,41.1,Chalcomitra_senegalensis,23.46500237,-3.63458716,23.19158936,32.25223694,14.48684082,Resident
Birds,Nectarinia_tacazze,13.5,41.4,25,42.1,Nectarinia_tacazze,37.75030765,7.60242521,16.90844879,24.81613312,9.772825623,Resident
Birds,Nectarinia_venusta,7.6,40,25,25.8,Cinnyris_venustus,26.14031315,-0.94953423,23.11152344,31.32962341,15.7677002,Resident
Birds,Onychognathus_morio,128,39.1,15,221.3,Onychognathus_morio,32.11651586,-12.54259731,20.20900269,29.20585327,10.47529755,Resident
Birds,Onychognathus_tristramii,123,40.6,21.5,196,Onychognathus_tristramii,43.81129924,20.08608598,23.73662567,36.59012756,10.15953674,Resident
Birds,Padda_oryzivora,24.9,42.5,31,51.1,Padda_oryzivora,111.5335561,13.90347867,21.7473114,29.25434265,13.17236328,Resident
Birds,Paradisaea_raggiana,215.7,39.7,16,322.7,Paradisaea_raggiana,144.9432178,-7.67363309,23.56986847,26.92873535,20.31646576,Resident
Birds,Paradisaea_rudolphi,156.1,40.5,17,262,Paradisornis_rudolphi,145.3363637,-6.70876412,17.55795746,20.78585663,14.3321991,Resident
Birds,Parotia_lawesii,144.9,39.1,17,206,Parotia_lawesii,145.3654339,-6.86893294,18.53439178,21.79643555,15.27425385,Resident
Birds,Parotia_wahnesi,164.2,39.7,22,221.8,Parotia_wahnesi,146.5143399,-5.94643125,19.84167786,22.45826874,17.25540619,Resident
Birds,Passer_domesticus,23,38.6,20,63.1,Passer_domesticus,14.91054497,31.93786072,10.35036163,27.39323425,-6.35885582,Resident
Birds,Phytotoma_rara,41.6,40.2,22,98.5,Phytotoma_rara,-71.82164952,-41.83609674,8.472937775,18.84326477,-0.298966622,Short Migrants
Birds,Pica_nuttalli,151.9,39.4,13.5,252.4,Pica_nutalli,-121.1673332,37.61648867,15.87178955,31.73060303,3.602702713,Resident
Birds,Pica_pica,158.9,39.5,21,206,Pica_pica,61.25680192,52.01883799,4.255664063,24.36150665,-14.67854614,Resident
Birds,Pipra_mentalis,12.3,37.9,26,33.5,Ceratopipra_mentalis,-86.20104312,12.94841715,24.83850098,29.62237854,20.17476959,Resident
Birds,Ptiloris_magnificus,179.4,38.6,22,258.1,Lophorina_magnifica,139.3829914,-4.84454974,25.79011536,29.04785461,22.42023773,Resident
Birds,Pycnonotus_sinensis,25.6,40.3,26.6,66.9,Pycnonotus_sinensis,112.6570074,30.71009722,15.31339264,29.27772217,-1.223919487,Long Migrants
Birds,Saltator_coerulescens,47,39.4,27,66.9,Saltator_coerulescens,-59.18879497,-12.0516508,24.24257355,30.3441803,18.10640106,Resident
Birds,Saltator_orenocensis,32.7,38.8,27.7,54,Saltator_orenocensis,-67.52317339,8.86297222,26.37880249,32.02076111,22.14195099,Resident
Birds,Sporophila_corvina,11,39.67,28.9,33.9,Sporophila_corvina,-88.70845619,15.18300693,23.92748108,29.3156189,18.7385376,Resident
Birds,Sturnus_sericeus,64.9,40.5,27.6,153,Spodiopsar_sericeus,111.9978954,27.10670363,17.72657776,30.11974792,2.964239311,Short Migrants
Birds,Syrmaticus_ellioti,388.25,40.47,23,504.8,Syrmaticus_ellioti,114.6548843,27.22504682,17.54419861,31.10327454,1.984447479,Resident
Birds,Taeniopygia_guttata,11.7,39.8,30,35.4,Taeniopygia_guttata,121.9216043,-8.98406248,25.08443146,27.99847107,22.31320343,Resident
Birds,Thryothorus_ludovicianus,14.9,39.4,27,61.7,Thryothorus_ludovicianus,-87.93120763,35.20562839,15.68946075,30.47677612,0.040942112,Resident
Birds,Zonotrichia_leucophrys,28.6,41,23,66,Zonotrichia_leucophrys,-115.2514877,58.62634724,-3.117173195,18.62577057,-22.83344879,Long Migrants
Birds,Zosterops_erythropleurus,9.16,40.58,25,40.6,Zosterops_erythropleurus,131.549301,46.62439897,2.509635353,24.42323151,-23.31330109,Long Migrants
Birds,Zosterops_lateralis,11.8,40.3,29,27.7,Zosterops_lateralis,144.4230826,-31.52055248,17.29270782,27.8452179,7.114815521,Resident
Birds,Anhinga_anhinga,1040,39.7,26,549.2,Anhinga_anhinga,-61.44455185,-5.67688091,24.11323853,30.25333862,17.95963593,Resident
Birds,Phalacrocorax_auritus,1330,39.5,17.5,945,Nannopterum_auritum,-102.7717584,46.20605049,6.885202789,25.33742218,-10.67624817,Long Migrants
Birds,Aulacorhynchus_prasinus,174.7,38.1,23,142.9,Aulacorhynchus_prasinus,-91.15154307,16.50263251,22.11705322,28.39346008,15.67907104,Resident
Birds,Aulacorhynchus_sulcatus,131.7,38.8,23,116.6,Aulacorhynchus_sulcatus,-66.52769686,10.25490003,23.2323349,27.45198975,19.43371277,Resident
Birds,Pteroglossus_aracari,200.7,40.9,29,153,Pteroglossus_aracari,-51.90428508,-5.54334432,24.84403992,30.4824585,20.43162842,Resident
Birds,Ramphastos_dicolorus,328.9,39.2,20,217.5,Ramphastos_dicolorus,-50.47003462,-23.64657304,21.13030853,28.3462677,12.25349731,Resident
Birds,Ramphastos_toco,582,39.1,17,416.8,Ramphastos_toco,-53.46413218,-17.48711664,23.49200745,30.39193115,15.90421906,Resident
Birds,Ramphastos_tucanus,420.3,39.6,25,294,Ramphastos_tucanus,-55.69445495,0.45625692,25.36457214,30.47599792,21.78076019,Resident
Birds,Selenidera_maculirostris,130.5,38.6,24,186.4,Selenidera_maculirostris,-47.42705865,-22.71996399,20.94033508,27.5955719,12.84620361,Resident
