Class,Species,Mass,Tb,Tlc,BMR,Species.Map,Longitude,Latitude,MeanTemp,MaxTemp,MinTemp,Migration
Birds,Buteo_buteo,1012,39.8,13,646.3,Buteo_buteo,40.62748451,53.01150025,5.365376282,23.36700287,-11.13405151,Short Migrants
Birds,Anas_aucklandica,373.1,41.3,30,322.7,Anas_aucklandica,166.0977007,-50.73413851,7.104860687,10.13702011,4.404524994,Resident
Birds,Anas_castanea,483.3,41.5,24,327.9,Anas_castanea,139.4306833,-30.02219275,19.20899658,31.21498413,6.996964264,Resident
Birds,Anas_gracilis,393.7,41.3,30,572.7,Anas_gracilis,136.2963173,-23.68153003,21.82956238,32.17902832,10.4663208,Resident
Birds,Anas_rhynchotis,508,40.9,22,452.7,Spatula_rhynchotis,139.2699196,-29.62980911,19.57632599,31.40632935,7.2152565,Resident
Birds,Aythya_novaeseelandiae,488.4,40,16,401.5,Aythya_novaeseelandiae,172.1828024,-42.11756564,9.631904602,17.51305389,2.529754448,Resident
Birds,Hymenolaimus_malacorhynchos,717.1,41,12,540.6,Hymenolaimus_malacorhynchos,172.9412547,-41.60276108,9.535913086,17.65216522,2.256352425,Resident
Birds,Tadorna_variegata,1193.6,40.2,22,575.5,Tadorna_variegata,172.5966448,-41.77349995,10.09741364,17.88144226,3.096398544,Resident
Birds,Collocalia_esculenta,6.8,38.2,31.5,13.9,Collocalia_esculenta,121.1347599,-0.20780923,24.56939697,27.72643738,21.61083069,Resident
Birds,Collocalia_vanikorensis,11.6,38.9,30,20.6,Aerodramus_vanikorensis,135.5887378,-1.71755571,24.76337738,27.83138733,21.87357635,Resident
Birds,Aegotheles_cristatus,45.56,38.2,31,55.9,Aegotheles_cristatus,134.5153853,-25.6788972,22.04051361,33.63560791,9.155387115,Resident
Birds,Caprimulgus_macrurus,68.6,38.1,26,53.5,Caprimulgus_macrurus,110.5460965,7.67351078,24.55494843,30.53939819,17.20617981,Resident
Birds,Caprimulgus_vociferus,46,37,25,55.9,Antrostomus_vociferus,-86.10308875,42.22554879,9.318644714,27.08944702,-9.133220673,Long Migrants
Birds,Chordeiles_minor,72,40,30,76,Chordeiles_minor,-101.0326441,45.12532841,7.01604538,25.58386841,-10.98618851,Long Migrants
Birds,Eurostopodus_mystacalis,162,40.1,30,82.7,Eurostopodus_mystacalis,148.8141435,-27.20459461,19.14065552,29.1229187,7.9697258,Short Migrants
Birds,Phalaenoptilus_nuttallii,40,40.2,35,30.6,Phalaenoptilus_nuttallii,-108.8017729,37.21871899,12.67836533,30.8520813,-3.662603378,Short Migrants
Birds,Podargus_strigoides,380.3,38.6,30,177.8,Podargus_strigoides,134.4832661,-25.73221065,22.03520355,33.65738525,9.118055725,Resident
Birds,Calidris_alpina,53,37.6,28.2,83.2,Calidris_alpina,44.31375546,68.2307901,-8.287277222,13.91903687,-27.38712769,Long Migrants
Birds,Calidris_minuta,29,39,28,53.1,Calidris_minuta,95.23263034,71.28894335,-10.58310394,13.23285522,-30.98305664,Long Migrants
Birds,Cepphus_grylle,342.2,39.9,7,520.1,Cepphus_grylle,-4.90715031,68.13485298,-2.715514755,11.65619583,-16.37635803,Long Migrants
Birds,Haematopus_ostralegus,385.4,39.1,19,524.4,Haematopus_ostralegus,64.89635957,52.86320714,4.553459167,25.03595428,-14.87565765,Short Migrants
