Class,Species,Mass,Temperature,MR
Fishes,Gadus_morhua,170,11.5,13.685
Fishes,Gadus_morhua,173,12,10.0513
Fishes,Gadus_morhua,188.1,10,13.03533
Fishes,Gadus_morhua,215,12,16.1035
Fishes,Gadus_morhua,218,11.5,12.971
Fishes,Gadus_morhua,228,12,13.8852
Fishes,Gadus_morhua,228,12,20.1096
Fishes,Gadus_morhua,244,11.5,14.518
Fishes,Gadus_morhua,254,12,13.8684
Fishes,Gadus_morhua,268,12,11.8188
Fishes,Gadus_morhua,283,11.5,19.2157
Fishes,Gadus_morhua,283,12,13.867
Fishes,Gadus_morhua,286,11.5,17.2172
Fishes,Gadus_morhua,304,11.5,9.576
Fishes,Gadus_morhua,316,11.5,14.1568
Fishes,Gadus_morhua,334,12,32.732
Fishes,Gadus_morhua,350,15,20.58
Fishes,Gadus_morhua,353,12,19.2738
Fishes,Gadus_morhua,382,11.5,14.9744
Fishes,Gadus_morhua,440,11.5,28.644
Fishes,Gadus_morhua,464,12,32.8048
Fishes,Gadus_morhua,510,15,29.274
Fishes,Gadus_morhua,518,12,21.3934
Fishes,Gadus_morhua,518,12,38.4356
Fishes,Gadus_morhua,611,12,53.4625
Fishes,Gadus_morhua,645,12,50.568
Fishes,Gadus_morhua,700,15,36.75
Fishes,Gadus_morhua,720,12,26.712
Fishes,Gadus_morhua,803,12,41.0333
Fishes,Gadus_morhua,848,12,27.8992
Fishes,Gadus_morhua,947,12,35.1337
Fishes,Gadus_morhua,1000,12,39.2
Fishes,Gadus_morhua,1120,12,66.64
Fishes,Gadus_morhua,1140,5,31.122
Fishes,Gadus_morhua,1150,10,46.69
Fishes,Gadus_morhua,1440,15,63.504
Fishes,Gadus_morhua,1580,15,86.268
Fishes,Gadus_morhua,2200,15,109.34
Fishes,Gadus_morhua,2330,5,58.716
Fishes,Gadus_morhua,3030,10,116.655
Fishes,Gambusia_affinis,0.22,20,0.042042
Fishes,Gambusia_affinis,0.22,25,0.056056
Fishes,Gambusia_affinis,0.22,30,0.07007
Fishes,Genyagnus_monopterygius,53.92,17,0.981344
Fishes,Genyagnus_monopterygius,66.5,17,1.2103
Fishes,Genyagnus_monopterygius,69.5,17,1.1676
Fishes,Genyagnus_monopterygius,74.8,17,1.20428
Fishes,Genyagnus_monopterygius,81.9,17,0.91728
Fishes,Genyagnus_monopterygius,139,17,2.1406
Fishes,Genyagnus_monopterygius,164,17,1.148
Fishes,Genyagnus_monopterygius,164,17,1.4924
Fishes,Genyagnus_monopterygius,164,17,1.8368
Fishes,Genyagnus_monopterygius,164,17,2.0664
Fishes,Genyagnus_monopterygius,164,17,2.1812
Fishes,Genyagnus_monopterygius,164,17,2.296
Fishes,Genyagnus_monopterygius,164,17,2.296
Fishes,Genyagnus_monopterygius,164,17,2.296
Fishes,Genyagnus_monopterygius,164,17,2.296
Fishes,Genyagnus_monopterygius,164,17,2.4108
Fishes,Genyagnus_monopterygius,164,17,2.4108
Fishes,Genyagnus_monopterygius,182,17,2.1658
Fishes,Genyagnus_monopterygius,231,17,2.9106
Fishes,Genyagnus_monopterygius,238,17,3.6652
Fishes,Genyagnus_monopterygius,276,17,3.2844
Fishes,Gillichthys_mirabilis,0.2,15,0.0196
Fishes,Gillichthys_mirabilis,0.34,15,0.023086
Fishes,Gillichthys_mirabilis,0.41,15,0.028987
Fishes,Gillichthys_mirabilis,0.48,15,0.027552
Fishes,Gillichthys_mirabilis,0.61,15,0.048251
Fishes,Gillichthys_mirabilis,0.63,15,0.027342
Fishes,Gillichthys_mirabilis,0.68,15,0.041412
Fishes,Gillichthys_mirabilis,0.91,15,0.045864
Fishes,Gillichthys_mirabilis,1.29,15,0.068628
Fishes,Gillichthys_mirabilis,1.8,15,0.06804
Fishes,Gillichthys_mirabilis,1.88,15,0.103964
Fishes,Gillichthys_mirabilis,2.11,15,0.112252
Fishes,Gillichthys_mirabilis,2.2,15,0.11858
Fishes,Gillichthys_mirabilis,2.4,15,0.0924
Fishes,Gillichthys_mirabilis,2.4,15,0.10752
Fishes,Gillichthys_mirabilis,2.89,15,0.147679
Fishes,Gillichthys_mirabilis,2.93,15,0.125111
Fishes,Gillichthys_mirabilis,2.93,15,0.147672
Fishes,Gillichthys_mirabilis,3.24,15,0.099792
Fishes,Gillichthys_mirabilis,4.14,15,0.156492
Fishes,Gillichthys_mirabilis,4.72,15,0.194936
Fishes,Glossogobius_giuris,1.6,22,0.37968
Fishes,Glossogobius_giuris,2.5,22,0.49875
Fishes,Glossogobius_giuris,3.8,22,0.75544
Fishes,Glossogobius_giuris,4.6,22,0.6923
Fishes,Glossogobius_giuris,7.3,22,1.27239
Fishes,Glossogobius_giuris,8.3,22,1.23172
Fishes,Glossogobius_giuris,10.2,22,1.37088
Fishes,Glossogobius_giuris,11,22,1.2628
Fishes,Glossogobius_giuris,12,22,1.47
Fishes,Glossogobius_giuris,12.9,25,1.15584
Fishes,Glossogobius_giuris,13.13,25,1.305122
Fishes,Glossogobius_giuris,13.35,25,1.40175
Fishes,Glossogobius_giuris,13.5,22,1.44585
Fishes,Glossogobius_giuris,13.5,25,1.701
Fishes,Glossogobius_giuris,13.76,25,1.242528
Fishes,Glossogobius_giuris,14.14,25,1.227352
Fishes,Glossogobius_giuris,14.17,25,1.279551
Fishes,Glossogobius_giuris,14.3,22,1.76176
Fishes,Glossogobius_giuris,16.5,22,1.3167
Fishes,Glossogobius_giuris,17.7,22,1.54875
Fishes,Glossogobius_giuris,18.7,22,2.21221
Fishes,Glossogobius_giuris,19.3,22,2.22915
Fishes,Glossogobius_giuris,20.4,22,1.9992
Fishes,Glossogobius_giuris,23.2,22,1.98128
Fishes,Heteropneustes_fossilis,9,26,1.2285
Fishes,Heteropneustes_fossilis,10,26,1.197
Fishes,Heteropneustes_fossilis,15,26,1.3965
Fishes,Heteropneustes_fossilis,16,26,1.456
Fishes,Heteropneustes_fossilis,17,26,1.4756
Fishes,Heteropneustes_fossilis,23,26,1.9803
Fishes,Heteropneustes_fossilis,26,26,2.2022
Fishes,Heteropneustes_fossilis,36,26,2.9232
Fishes,Heteropneustes_fossilis,44,26,3.5728
Fishes,Heteropneustes_fossilis,56,26,4.4688
Fishes,Heteropneustes_fossilis,75,26,4.8825
Fishes,Hippoglossoides_platessoides,231,3.5,3.3957
Fishes,Hippoglossoides_platessoides,268,3.5,4.1272
Fishes,Hippoglossoides_platessoides,294,3.5,3.7044
Fishes,Hippoglossoides_platessoides,344,3.5,4.3344
Fishes,Hippoglossoides_platessoides,390,3.5,4.641
Fishes,Ictalurus_punctatus,4.43,23.5,0.46515
Fishes,Ictalurus_punctatus,5.37,23.5,1.157772
Fishes,Ictalurus_punctatus,5.43,23.5,0.391503
Fishes,Ictalurus_punctatus,6.71,23.5,1.296372
Fishes,Ictalurus_punctatus,7.24,23.5,0.881832
Fishes,Ictalurus_punctatus,7.25,23.5,0.76125
Fishes,Ictalurus_punctatus,7.61,23.5,0.548681
Fishes,Ictalurus_punctatus,8.27,23.5,1.325681
Fishes,Ictalurus_punctatus,825,18,24.255
Fishes,Kuhlia_sandvicensis,13.24,23,0.815584
Fishes,Kuhlia_sandvicensis,15.67,23,0.866551
Fishes,Kuhlia_sandvicensis,16.26,23,0.830886
Fishes,Kuhlia_sandvicensis,19.61,23,1.125614
Fishes,Kuhlia_sandvicensis,20.55,23,0.992565
Fishes,Kuhlia_sandvicensis,26.22,23,1.266426
Fishes,Kuhlia_sandvicensis,27.48,23,1.288812
Fishes,Kuhlia_sandvicensis,29.06,23,1.464624
Fishes,Kuhlia_sandvicensis,36.38,23,1.578892
Fishes,Kuhlia_sandvicensis,46.41,23,2.111655
Fishes,Kuhlia_sandvicensis,47.29,23,2.217901
Fishes,Kuhlia_sandvicensis,55.97,23,2.311561
Fishes,Labeo_rohita,6,25,4.6116
Fishes,Labeo_rohita,7,25,3.3173
Fishes,Labeo_rohita,8.5,25,3.31415
Fishes,Labeo_rohita,11.5,25,3.30855
Fishes,Labeo_rohita,11.5,25,3.32465
Fishes,Lampetra_fluviatilis,1.43,4.4,0.017017
Fishes,Lampetra_fluviatilis,1.43,4.8,0.035035
Fishes,Lampetra_fluviatilis,1.43,9.4,0.041041
Fishes,Lampetra_fluviatilis,1.43,9.8,0.084084
Fishes,Lampetra_fluviatilis,1.43,10,0.038038
Fishes,Lampetra_fluviatilis,1.43,10,0.041041
Fishes,Lampetra_fluviatilis,1.43,10,0.044044
Fishes,Lampetra_fluviatilis,1.43,10,0.049049
Fishes,Lampetra_fluviatilis,1.43,10,0.084084
Fishes,Lampetra_fluviatilis,1.43,14.4,0.078078
Fishes,Lampetra_fluviatilis,1.43,14.7,0.14014
Fishes,Lampetra_fluviatilis,23.3,16,1.82672
Fishes,Lampetra_fluviatilis,28.6,16,1.74174
Fishes,Lampetra_fluviatilis,29.3,9.5,0.94346
Fishes,Lampetra_fluviatilis,30.3,9.5,0.86961
Fishes,Lampetra_fluviatilis,32.8,9.5,0.82656
Fishes,Lampetra_fluviatilis,32.8,9.5,1.21688
Fishes,Lampetra_fluviatilis,33.2,16,1.76624
Fishes,Lampetra_fluviatilis,39.4,9.5,1.21352
Fishes,Lampetra_fluviatilis,41.2,9.5,1.03824
Fishes,Lampetra_fluviatilis,42.2,16,2.3632
Fishes,Lampetra_fluviatilis,42.7,9.5,1.10593
Fishes,Lampetra_fluviatilis,43.7,9.5,1.13183
Fishes,Lampetra_fluviatilis,44.2,9.5,1.05196
Fishes,Lampetra_fluviatilis,45.2,16,3.13236
Fishes,Lampetra_fluviatilis,45.7,9.5,1.50353
Fishes,Lampetra_fluviatilis,46.8,9.5,1.24488
Fishes,Lampetra_fluviatilis,46.8,9.5,1.27764
Fishes,Lampetra_fluviatilis,46.8,9.5,1.3104
Fishes,Lampetra_fluviatilis,46.8,9.5,1.34316
Fishes,Lampetra_fluviatilis,48.9,16,3.66261
Fishes,Lampetra_fluviatilis,49.5,9.5,1.3167
Fishes,Lampetra_fluviatilis,49.5,16,3.56895
Fishes,Lampetra_fluviatilis,50.7,16,2.69724
Fishes,Lampetra_fluviatilis,52.4,9.5,1.24712
Fishes,Lampetra_fluviatilis,53,9.5,1.484
Fishes,Lampetra_fluviatilis,53,16,3.71
Fishes,Lampetra_fluviatilis,54.2,16,3.11108
Fishes,Lampetra_fluviatilis,55.5,9.5,1.6317
Fishes,Lampetra_fluviatilis,55.5,9.5,1.82595
Fishes,Lampetra_fluviatilis,56.1,9.5,1.37445
Fishes,Lampetra_fluviatilis,56.8,9.5,1.51088
Fishes,Lampetra_fluviatilis,56.8,9.5,2.06752
Fishes,Lampetra_fluviatilis,58.8,9.5,1.56408
Fishes,Lampetra_fluviatilis,62.2,9.5,1.9593
Fishes,Lampetra_fluviatilis,63.6,9.5,1.5582
Fishes,Lampetra_planeri,2.79,5.3,0.027342
Fishes,Lampetra_planeri,2.79,5.7,0.05859
Fishes,Lampetra_planeri,2.79,10,0.056637
Fishes,Lampetra_planeri,2.79,10,0.062496
Fishes,Lampetra_planeri,2.79,10,0.070308
Fishes,Lampetra_planeri,2.79,10,0.080073
Fishes,Lampetra_planeri,2.79,10,0.089838
Fishes,Lampetra_planeri,2.79,10,0.109368
Fishes,Lampetra_planeri,2.79,10,0.121086
Fishes,Lampetra_planeri,2.79,10,0.138663
Fishes,Lampetra_planeri,2.79,10,0.140616
Fishes,Lampetra_planeri,2.79,10,0.160146
Fishes,Lampetra_planeri,2.79,10,0.197253
Fishes,Lampetra_planeri,2.79,10.3,0.054684
Fishes,Lampetra_planeri,2.79,10.6,0.13671
Fishes,Lampetra_planeri,2.79,15.2,0.11718
Fishes,Lampetra_planeri,2.79,15.6,0.201159
Fishes,Lepomis_gibbosus,44.92,20,1.41498
Fishes,Lepomis_macrochirus,118,25,8.3426
Fishes,Lepomis_macrochirus,118,25,8.5078
Fishes,Lepomis_macrochirus,118,25,8.7556
Fishes,Lepomis_macrochirus,118,25,8.8382
Fishes,Leporinus_fasciatus,3.95,25,0.384335
Fishes,Leporinus_fasciatus,7.6,30,0.84588
Fishes,Leuciscus_idus,600,5,8.4
Fishes,Leuciscus_idus,600,10,15.96
Fishes,Limanda_limanda,236,10,4.7908
Fishes,Limanda_limanda,396,15,11.6424
Fishes,Limanda_limanda,400,5,4.2
Fishes,Lipophrys_pholis,0.03,16,0.015225
Fishes,Lipophrys_pholis,0.06,16,0.02562
Fishes,Lipophrys_pholis,0.06,16,0.03024
Fishes,Lipophrys_pholis,0.18,16,0.094752
Fishes,Lipophrys_pholis,0.2,16,0.06048
Fishes,Lipophrys_pholis,0.2,16,0.0609
Fishes,Lipophrys_pholis,0.2,16,0.06818
Fishes,Lipophrys_pholis,0.2,16,0.0903
Fishes,Lipophrys_pholis,0.22,16,0.117502
Fishes,Lipophrys_pholis,0.23,16,0.073416
Fishes,Lipophrys_pholis,0.23,16,0.086618
Fishes,Lipophrys_pholis,0.23,16,0.096761
Fishes,Lipophrys_pholis,0.23,16,0.11431
Fishes,Lipophrys_pholis,0.23,16,0.120911
Fishes,Lipophrys_pholis,0.24,16,0.072408
Fishes,Lipophrys_pholis,0.25,16,0.089075
Fishes,Lipophrys_pholis,0.27,16,0.08127
Fishes,Lipophrys_pholis,0.27,16,0.101493
Fishes,Lipophrys_pholis,0.28,16,0.08428
Fishes,Lipophrys_pholis,0.35,16,0.09457
Fishes,Lipophrys_pholis,0.38,16,0.07315
Fishes,Lipophrys_pholis,0.38,16,0.077406
Fishes,Lipophrys_pholis,0.41,16,0.093275
Fishes,Lipophrys_pholis,0.59,16,0.176351
Fishes,Lipophrys_pholis,0.63,16,0.210357
Fishes,Lipophrys_pholis,0.66,16,0.149226
Fishes,Lipophrys_pholis,0.66,16,0.176484
Fishes,Lipophrys_pholis,0.66,16,0.232848
Fishes,Lipophrys_pholis,0.7,16,0.20874
Fishes,Lipophrys_pholis,0.73,16,0.111398
Fishes,Lipophrys_pholis,0.78,16,0.16653
Fishes,Lipophrys_pholis,0.79,16,0.150969
Fishes,Lipophrys_pholis,0.82,16,0.139482
Fishes,Lipophrys_pholis,0.93,16,0.198555
Fishes,Lipophrys_pholis,0.93,16,0.23436
Fishes,Lipophrys_pholis,0.98,16,0.157094
Fishes,Lipophrys_pholis,1.38,16,0.483
Fishes,Lipophrys_pholis,1.54,16,0.175714
Fishes,Lipophrys_pholis,1.55,16,0.3472
Fishes,Lipophrys_pholis,1.55,16,0.484995
Fishes,Lipophrys_pholis,1.55,16,0.756245
Fishes,Lipophrys_pholis,1.56,16,0.411684
Fishes,Lipophrys_pholis,1.63,16,0.233905
Fishes,Lipophrys_pholis,1.63,16,0.274981
Fishes,Lipophrys_pholis,1.63,16,0.290955
Fishes,Lipophrys_pholis,1.73,16,0.245833
Fishes,Lipophrys_pholis,1.73,16,0.366933
Fishes,Lipophrys_pholis,2.42,16,0.484484
Fishes,Lipophrys_pholis,2.71,16,0.457177
Fishes,Lipophrys_pholis,2.84,16,0.42742
Fishes,Lipophrys_pholis,2.84,16,0.463204
Fishes,Lipophrys_pholis,3.03,16,0.458136
Fishes,Lipophrys_pholis,3.03,16,0.483588
Fishes,Lipophrys_pholis,3.06,16,0.38556
Fishes,Lipophrys_pholis,3.08,16,0.612304
Fishes,Lipophrys_pholis,3.34,16,0.778554
Fishes,Lipophrys_pholis,3.92,16,0.565264
Fishes,Lipophrys_pholis,4.25,16,0.8449
Fishes,Lipophrys_pholis,4.49,16,0.75432
Fishes,Lipophrys_pholis,4.57,16,0.457457
Fishes,Lipophrys_pholis,4.75,16,0.754775
Fishes,Lipophrys_pholis,4.75,16,0.84455
Fishes,Lipophrys_pholis,5.12,16,0.57344
Fishes,Lipophrys_pholis,5.31,16,1.111383
Fishes,Lipophrys_pholis,5.62,16,0.715988
Fishes,Lipophrys_pholis,5.74,16,0.510286
Fishes,Lipophrys_pholis,5.85,16,0.986895
Fishes,Lipophrys_pholis,5.95,16,0.57477
Fishes,Lipophrys_pholis,5.95,16,0.9996
Fishes,Lipophrys_pholis,6.08,16,0.485184
Fishes,Lipophrys_pholis,6.29,16,0.713286
Fishes,Lipophrys_pholis,6.29,16,0.796943
Fishes,Lipophrys_pholis,6.29,16,0.845376
Fishes,Lipophrys_pholis,6.29,16,0.942242
Fishes,Lipophrys_pholis,6.29,16,1.052317
Fishes,Lipophrys_pholis,6.59,16,0.987182
Fishes,Lipophrys_pholis,6.65,16,1.47098
Fishes,Lipophrys_pholis,6.86,16,1.253322
Fishes,Lipophrys_pholis,7.22,16,0.641858
Fishes,Lipophrys_pholis,7.22,16,0.7581
Fishes,Lipophrys_pholis,7.44,16,0.775992
Fishes,Lipophrys_pholis,7.64,16,0.679196
Fishes,Lipophrys_pholis,7.64,16,0.8022
Fishes,Lipophrys_pholis,7.87,16,1.245034
Fishes,Lipophrys_pholis,8.32,16,0.995904
Fishes,Lipophrys_pholis,9.31,16,1.114407
Fishes,Lipophrys_pholis,9.6,16,0.90048
Fishes,Lipophrys_pholis,12.3,16,1.38621
Fishes,Lipophrys_pholis,13,16,1.3104
Fishes,Lipophrys_pholis,13,16,1.4651
Fishes,Lipophrys_pholis,14.3,16,0.95095
Fishes,Lipophrys_pholis,16.6,16,2.02188
Fishes,Lipophrys_pholis,18.7,16,1.79333
Fishes,Lipophrys_pholis,18.7,16,2.01586
Fishes,Lipophrys_pholis,20.2,16,1.2726
Fishes,Lipophrys_pholis,20.4,16,1.94208
Fishes,Lipophrys_pholis,21.6,16,2.05632
Fishes,Lipophrys_pholis,22.6,16,1.582
Fishes,Lipophrys_pholis,22.8,16,1.93116
Fishes,Lipophrys_pholis,8,29,0.84
Fishes,Macrognathus_aculeatus,5,21,0.4025
Fishes,Macrognathus_aculeatus,6,30,0.7098
Fishes,Macrognathus_aculeatus,11,21,0.6853
Fishes,Macrognathus_aculeatus,12.88,30,1.199128
Fishes,Macrognathus_aculeatus,23.5,21,1.4476
Fishes,Macrognathus_aculeatus,26.17,30,2.070047
Fishes,Macrognathus_aculeatus,35,30,2.646
Fishes,Macrognathus_aculeatus,37,21,1.7612
Fishes,Macrognathus_aculeatus,42.5,30,2.856
Fishes,Macrognathus_aculeatus,45.5,21,2.0384
Fishes,Macrognathus_aculeatus,53,21,1.8179
Fishes,Macrognathus_aculeatus,53.5,30,3.2956
Fishes,Melanogrammus_aeglefinus,155.9,10,3.71042
Fishes,Melanogrammus_aeglefinus,155.9,10,4.3652
Fishes,Melanogrammus_aeglefinus,155.9,10,5.56563
Fishes,Melanogrammus_aeglefinus,155.9,10,6.76606
Fishes,Melanogrammus_aeglefinus,155.9,10,7.52997
Fishes,Melanogrammus_aeglefinus,156,10,6.552
Fishes,Micropterus_salmoides,178,15,2.3674
Fishes,Micropterus_salmoides,178,30,4.4856
Fishes,Micropterus_salmoides,350,20,16.66
Fishes,Micropterus_salmoides,350,25,25.235
Fishes,Micropterus_salmoides,350,25,25.97
Fishes,Micropterus_salmoides,350,30,36.995
Fishes,Micropterus_salmoides,350,30,42.63
Fishes,Microstomus_kitt,221,15,8.0444
Fishes,Microstomus_kitt,229,5,4.6487
Fishes,Microstomus_kitt,249,10,5.7519
Fishes,Monopterus_cuchia,1.98,25,1.369368
Fishes,Monopterus_cuchia,2.96,25,1.313648
Fishes,Monopterus_cuchia,7.79,25,1.74496
Fishes,Monopterus_cuchia,28.8,25,2.47968
Fishes,Monopterus_cuchia,53.8,25,3.08812
Fishes,Monopterus_cuchia,59.5,25,3.20705
Fishes,Monopterus_cuchia,60.7,25,2.63438
Fishes,Monopterus_cuchia,83.76,25,2.872968
Fishes,Monopterus_cuchia,166.06,25,3.371018
Fishes,Monopterus_cuchia,172.88,25,3.509464
Fishes,Mugil_cephalus,79,16,4.8664
Fishes,Mugil_cephalus,100,20.8,14.56
Fishes,Mugil_cephalus,102,21.5,13.1376
Fishes,Mugil_cephalus,110,21,9.548
Fishes,Mugil_cephalus,115,15.4,5.0715
Fishes,Mugil_cephalus,116,19.3,11.9364
Fishes,Mugil_cephalus,140,20,9.702
Fishes,Mugil_cephalus,140,20,13.132
Fishes,Mugil_cephalus,140,20,15.68
Fishes,Mugil_cephalus,140,20,15.876
Fishes,Mugil_cephalus,210,28.5,31.458
Fishes,Mugil_cephalus,214,28.5,29.5106
Fishes,Mugil_cephalus,219,28.5,32.0397
Fishes,Mugil_cephalus,221,14.5,8.0444
Fishes,Mugil_cephalus,225,14.5,11.4975
Fishes,Mugil_cephalus,225,28.5,30.555
Fishes,Mugil_cephalus,238,14.5,8.9964
Fishes,Mugil_cephalus,259,14.5,12.8723
Fishes,Mugil_curema,140,20,9.8
Fishes,Mugil_curema,140,20,10.682
Fishes,Mugil_curema,140,20,14.112
Fishes,Mugil_curema,140,20,15.778
Fishes,Mystus_cavasius,4,29,2.0048
Fishes,Mystus_cavasius,7,29,1.6317
Fishes,Mystus_cavasius,9,29,2.5137
Fishes,Mystus_cavasius,14,29,3.0184
Fishes,Mystus_cavasius,15,29,2.73
Fishes,Mystus_cavasius,19,29,2.793
Fishes,Mystus_cavasius,24,29,3.2424
Fishes,Mystus_cavasius,25,29,3.9375
Fishes,Mystus_cavasius,33,29,5.4516
Fishes,Mystus_cavasius,35,29,5.978
Fishes,Mystus_cavasius,37,29,5.8016
Fishes,Mystus_cavasius,42,29,8.5848
Fishes,Mystus_cavasius,45,29,5.7015
Fishes,Mystus_cavasius,47,29,7.1064
Fishes,Mystus_cavasius,52,29,7.5712
Fishes,Mystus_cavasius,53,29,8.8298
Fishes,Mystus_cavasius,56,29,9.6432
Fishes,Myxine_glutinosa,38.4,7,1.29024
Fishes,Myxine_glutinosa,38.4,15,1.85472
Fishes,Oncorhynchus_mykiss,100,5,3.78
Fishes,Oncorhynchus_mykiss,100,5,3.92
Fishes,Oncorhynchus_mykiss,100,5,3.99
Fishes,Oncorhynchus_mykiss,100,5,4.13
Fishes,Oncorhynchus_mykiss,100,5,4.2
Fishes,Oncorhynchus_mykiss,100,5,4.34
Fishes,Oncorhynchus_mykiss,100,5,4.55
Fishes,Oncorhynchus_mykiss,100,5,5.18
Fishes,Oncorhynchus_mykiss,100,15,3.57
Fishes,Oncorhynchus_mykiss,100,15,3.99
Fishes,Oncorhynchus_mykiss,100,15,4.48
Fishes,Oncorhynchus_mykiss,100,15,4.62
Fishes,Oncorhynchus_mykiss,100,15,4.83
Fishes,Oncorhynchus_mykiss,100,15,6.58
Fishes,Oncorhynchus_mykiss,100,15,7.63
Fishes,Oncorhynchus_mykiss,100,15,7.84
Fishes,Oncorhynchus_mykiss,100,15,8.89
Fishes,Oncorhynchus_mykiss,115,12,7.728
Fishes,Oncorhynchus_mykiss,115,12,8.7745
Fishes,Oncorhynchus_mykiss,115.4,14,6.54318
Fishes,Oncorhynchus_mykiss,210,8.6,6.174
Fishes,Oncorhynchus_mykiss,210,8.6,6.615
Fishes,Oncorhynchus_mykiss,210,8.6,7.056
Fishes,Oncorhynchus_mykiss,210,8.6,7.056
Fishes,Oncorhynchus_mykiss,210,8.6,7.35
Fishes,Oncorhynchus_mykiss,210,8.6,7.497
Fishes,Oncorhynchus_mykiss,210,8.6,7.497
Fishes,Oncorhynchus_mykiss,210,8.6,7.791
Fishes,Oncorhynchus_mykiss,210,8.6,7.791
Fishes,Oncorhynchus_mykiss,210,8.6,7.938
Fishes,Oncorhynchus_mykiss,210,8.6,8.085
Fishes,Oncorhynchus_mykiss,210,8.6,8.526
Fishes,Oncorhynchus_mykiss,210,8.6,8.82
Fishes,Oncorhynchus_mykiss,210,8.6,8.967
Fishes,Oncorhynchus_mykiss,210,8.6,9.408
Fishes,Oncorhynchus_mykiss,210,8.6,9.555
Fishes,Oncorhynchus_mykiss,210,8.6,10.143
Fishes,Oncorhynchus_mykiss,210,8.6,11.172
Fishes,Oncorhynchus_mykiss,217,8.6,8.5064
Fishes,Oncorhynchus_mykiss,218,12,6.867
Fishes,Oncorhynchus_mykiss,219,8,11.4975
Fishes,Oncorhynchus_mykiss,224,8,11.1328
Fishes,Oncorhynchus_mykiss,225,15,14.805
Fishes,Oncorhynchus_mykiss,225,15,14.805
Fishes,Oncorhynchus_mykiss,225,15,15.2775
Fishes,Oncorhynchus_mykiss,225,15,16.2225
Fishes,Oncorhynchus_mykiss,225,15,17.7975
Fishes,Oncorhynchus_mykiss,238,8,11.9952
Fishes,Oncorhynchus_mykiss,265,8.8,7.9765
Fishes,Oncorhynchus_mykiss,288,15,15.9264
Fishes,Oncorhynchus_mykiss,300,15,17.43
Fishes,Oncorhynchus_mykiss,350,10,16.905
Fishes,Oncorhynchus_mykiss,350,10,20.335
Fishes,Oncorhynchus_mykiss,350,10,21.315
Fishes,Oncorhynchus_mykiss,350,10,22.54
Fishes,Oncorhynchus_mykiss,350,10,24.745
Fishes,Oncorhynchus_mykiss,350,10,26.705
Fishes,Oncorhynchus_mykiss,450,5,12.285
Fishes,Oncorhynchus_mykiss,500,13.5,19.6
Fishes,Oncorhynchus_mykiss,500,13.5,21.35
Fishes,Oncorhynchus_mykiss,500,13.5,22.05
Fishes,Oncorhynchus_mykiss,500,13.5,23.1
Fishes,Oncorhynchus_mykiss,500,13.5,30.1
Fishes,Oncorhynchus_mykiss,500,15,24.85
Fishes,Oncorhynchus_mykiss,500,15,24.85
Fishes,Oncorhynchus_mykiss,500,15,25.2
Fishes,Oncorhynchus_mykiss,515,16,39.655
Fishes,Oncorhynchus_mykiss,515,18,45.0625
Fishes,Oncorhynchus_mykiss,515,20,54.075
Fishes,Oncorhynchus_mykiss,515,22,75.705
Fishes,Oncorhynchus_mykiss,515,24,106.3475
Fishes,Oncorhynchus_mykiss,515,25,97.335
Fishes,Oncorhynchus_mykiss,515,26,99.1375
Fishes,Oncorhynchus_mykiss,565,15,33.6175
Fishes,Oncorhynchus_mykiss,595,15,31.2375
Fishes,Oncorhynchus_mykiss,700,15,38.71
Fishes,Oncorhynchus_mykiss,768,15,52.1472
Fishes,Oncorhynchus_mykiss,768,15,58.0608
Fishes,Oncorhynchus_mykiss,768,15,66.1248
Fishes,Oncorhynchus_mykiss,768,15,67.2
Fishes,Oncorhynchus_mykiss,1200,10,40.32
Fishes,Oncorhynchus_nerka,3.38,15,0.54418
Fishes,Oncorhynchus_nerka,8.47,15,0.65219
Fishes,Oncorhynchus_nerka,19.1,15,1.69799
Fishes,Oncorhynchus_nerka,32.9,10,1.3818
Fishes,Oncorhynchus_nerka,36.7,5,1.05329
Fishes,Oncorhynchus_nerka,52.2,25,7.16184
Fishes,Oncorhynchus_nerka,55.2,15,2.74344
Fishes,Oncorhynchus_nerka,62.6,20,5.2584
Fishes,Oncorhynchus_nerka,100,15,5.81
Fishes,Oncorhynchus_nerka,264,10.5,15.5232
Fishes,Oncorhynchus_nerka,746,15,37.0762
Fishes,Oncorhynchus_nerka,1432,15,44.1056
Fishes,Ophiodon_elongatus,270,12.2,11.718
Fishes,Ophiodon_elongatus,520,13.1,21.84
Fishes,Ophiodon_elongatus,850,13.2,32.725
Fishes,Ophiodon_elongatus,970,12,37.345
Fishes,Ophiodon_elongatus,1500,13,57.75
Fishes,Ophiodon_elongatus,1591,12.1,27.8425
Fishes,Ophiodon_elongatus,1720,12.1,32.508
Fishes,Ophiodon_elongatus,2090,12,45.353
Fishes,Ophiodon_elongatus,3400,10,76.16
Fishes,Ophiodon_elongatus,3770,12.4,116.116
Fishes,Ophiodon_elongatus,4400,13,98.56
Fishes,Ophiodon_elongatus,6820,12,152.768
Fishes,Ophiodon_elongatus,7330,11.8,153.93
Fishes,Ophiodon_elongatus,9090,12,229.068
Fishes,Oreochromis_aureus,697,26,32.2014
Fishes,Oreochromis_niloticus,80,25,5.824
Fishes,Oreochromis_niloticus,80,25,7.504
Fishes,Oreochromis_niloticus,310,26,12.369
Fishes,Orthodon_microlepidotus,564,10,16.5816
