"","Class","Species","Activity","LogM","LogMR","Ta","MR","M","Applied.stress","No","Dataset","Respiration","Habitat","Habitat2","Respiration2","Individual","bmkleur","Tkleur"
"5","fish","Acipenser transmontanus","RMR",2.95424250943932,1.44279322593977,10,27.7200000000001,899.99999999999,"non.restbase",2,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Acipenser transmontanus 900",2,1
"6","fish","Acipenser transmontanus","RMR",2.95424250943932,1.69143515214406,15,49.1399999999998,899.99999999999,"non.restbase",3,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Acipenser transmontanus 900",2,2
"7","fish","Acipenser transmontanus","RMR",2.97772360528885,1.7036352375839,15,50.5400000000005,950.000000000005,"non.restbase",4,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Acipenser transmontanus 950",2,2
"65","fish","Ameiurus nebulosus","RMR",1.87448181769947,0.688062806267658,25,4.87599,74.9000000000006,"non.restbase",60,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ameiurus nebulosus 74.9",2,3
"66","fish","Ameiurus nebulosus","RMR",1.87448181769947,0.715215052311273,25,5.19057,74.9000000000006,"non.restbase",61,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ameiurus nebulosus 74.9",2,3
"67","fish","Ameiurus nebulosus","RMR",1.87448181769947,0.719579857713723,25,5.243,74.9000000000006,"non.restbase",62,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ameiurus nebulosus 74.9",2,3
"68","fish","Ameiurus nebulosus","RMR",1.87448181769947,0.723901231496366,25,5.29543,74.9000000000006,"non.restbase",63,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ameiurus nebulosus 74.9",2,3
"69","fish","Ameiurus nebulosus","RMR",2.06069784035361,0.935179658053078,30,8.6135,115,"non.restbase",64,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ameiurus nebulosus 115",2,3
"70","fish","Ameiurus nebulosus","RMR",2.06445798922692,0.210586024905157,10,1.624,116,"non.restbase",65,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ameiurus nebulosus 116",2,1
"71","fish","Ameiurus nebulosus","RMR",2.16731733474818,0.838490177463259,20,6.89429999999999,147.000000000001,"non.restbase",66,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ameiurus nebulosus 147",2,2
"100","fish","Anguilla anguilla","RMR",1.90308998699194,0.464191370641,25,2.912,79.9999999999993,"non.restbase",95,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"101","fish","Anguilla anguilla","RMR",1.90308998699194,0.504062882678692,25,3.192,79.9999999999993,"non.restbase",96,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"102","fish","Anguilla anguilla","RMR",1.90308998699194,0.511616020569138,25,3.248,79.9999999999993,"non.restbase",97,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"103","fish","Anguilla anguilla","RMR",1.90308998699194,0.561101383649056,25,3.64,79.9999999999993,"non.restbase",98,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"104","fish","Anguilla anguilla","RMR",1.90308998699194,0.567731962548069,25,3.696,79.9999999999993,"non.restbase",99,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"105","fish","Anguilla anguilla","RMR",1.90308998699194,0.587037117743456,25,3.864,79.9999999999993,"non.restbase",100,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"106","fish","Anguilla anguilla","RMR",1.90308998699194,0.605520523437469,25,4.032,79.9999999999993,"non.restbase",101,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"107","fish","Anguilla anguilla","RMR",1.90308998699194,0.611510887126656,25,4.088,79.9999999999993,"non.restbase",102,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"108","fish","Anguilla anguilla","RMR",1.90308998699194,0.6232492903979,25,4.2,79.9999999999993,"non.restbase",103,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"110","fish","Anguilla anguilla","RMR",1.90308998699194,0.629001619286992,25,4.256,79.9999999999993,"non.restbase",105,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"111","fish","Anguilla anguilla","RMR",1.90308998699194,0.634678752178682,25,4.312,79.9999999999993,"non.restbase",106,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"112","fish","Anguilla anguilla","RMR",1.90308998699194,0.682686478249768,25,4.816,79.9999999999993,"non.restbase",107,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"114","fish","Anguilla anguilla","RMR",1.90308998699194,0.697578033651113,25,4.984,79.9999999999993,"non.restbase",109,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"115","fish","Anguilla anguilla","RMR",1.90308998699194,0.707229419327294,25,5.096,79.9999999999993,"non.restbase",110,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"116","fish","Anguilla anguilla","RMR",1.90308998699194,0.752509400788843,25,5.656,79.9999999999993,"non.restbase",111,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"117","fish","Anguilla japonica","RMR",2.51188336097887,0.658011396657112,14.5,4.55,324.999999999997,"non.restbase",112,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"118","fish","Anguilla japonica","RMR",2.51188336097887,0.67920069572705,13,4.77749999999999,324.999999999997,"non.restbase",113,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"119","fish","Anguilla japonica","RMR",2.51188336097887,0.699404081815337,14.5,5.00499999999999,324.999999999997,"non.restbase",114,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"120","fish","Anguilla japonica","RMR",2.51188336097887,0.771954748963949,15,5.915,324.999999999997,"non.restbase",115,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"121","fish","Anguilla japonica","RMR",2.51188336097887,0.819379398892087,14.5,6.5975,324.999999999997,"non.restbase",116,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"122","fish","Anguilla japonica","RMR",2.51188336097887,0.848343094827404,15,7.0525,324.999999999997,"non.restbase",117,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"124","fish","Anguilla japonica","RMR",2.51188336097887,0.875495340871019,19,7.50750000000001,324.999999999997,"non.restbase",119,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"125","fish","Anguilla japonica","RMR",2.51188336097887,0.913283901760418,16,8.18999999999999,324.999999999997,"non.restbase",120,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"127","fish","Anguilla japonica","RMR",2.51188336097887,0.925183125060126,18,8.4175,324.999999999997,"non.restbase",122,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"129","fish","Anguilla japonica","RMR",2.51188336097887,0.969765257712867,18,9.32750000000001,324.999999999997,"non.restbase",124,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"131","fish","Anguilla japonica","RMR",2.51188336097887,0.980230691391032,17,9.55500000000001,324.999999999997,"non.restbase",126,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"134","fish","Anguilla japonica","RMR",2.51188336097887,1.00043407747932,20,10.01,324.999999999997,"non.restbase",129,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"135","fish","Anguilla japonica","RMR",2.51188336097887,1.01019391476847,20,10.2374999999999,324.999999999997,"non.restbase",130,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"136","fish","Anguilla japonica","RMR",2.51188336097887,1.07298474462793,19,11.83,324.999999999997,"non.restbase",131,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"137","fish","Anguilla japonica","RMR",2.51188336097887,1.12040939455607,20,13.195,324.999999999997,"non.restbase",132,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"138","fish","Anguilla japonica","RMR",2.51188336097887,1.13513265137677,20,13.6499999999999,324.999999999997,"non.restbase",133,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"139","fish","Anguilla japonica","RMR",2.51188336097887,1.22621312072411,25,16.8350000000001,324.999999999997,"non.restbase",134,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,3
"140","fish","Anguilla japonica","RMR",2.51188336097887,1.27605949336921,24,18.8825000000002,324.999999999997,"non.restbase",135,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,3
"141","fish","Anguilla japonica","RMR",2.51188336097887,1.39040515648008,29,24.5699999999999,324.999999999997,"non.restbase",136,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,3
"142","fish","Anguilla japonica","RMR",2.51188336097887,1.41767924134674,26,26.1624999999998,324.999999999997,"non.restbase",137,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,3
"143","fish","Anguilla japonica","RMR",2.51188336097887,1.42516726273929,27.5,26.6174999999998,324.999999999997,"non.restbase",138,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,3
"144","fish","Anguilla japonica","RMR",2.51188336097887,1.45735194611069,30,28.6649999999997,324.999999999997,"non.restbase",139,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,3
"145","fish","Anguilla japonica","RMR",2.51188336097887,1.49370196814954,29,31.1675000000001,324.999999999997,"non.restbase",140,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,3
"146","fish","Anguilla rostrata","RMR",2.33041377334919,0.622669844705667,15,4.1944,214,"non.restbase",141,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla rostrata 214",2,2
"147","fish","Anguilla rostrata","RMR",2.4983105537896,0.665627888537777,15,4.6305,315,"non.restbase",142,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla rostrata 315",2,2
"150","fish","Arapaima gigas","RMR",3.36172783601759,1.60476588470389,28,40.2500000000002,2299.99999999998,"non.restbase",145,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Arapaima gigas 2300",3,3
"151","fish","Arapaima gigas","RMR",3.36172783601759,1.66922387393081,28,46.6900000000005,2299.99999999998,"non.restbase",146,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Arapaima gigas 2300",3,3
"152","fish","Arapaima gigas","RMR",3.36172783601759,1.68394713075151,28,48.2999999999998,2299.99999999998,"non.restbase",147,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Arapaima gigas 2300",3,3
"292","fish","Callionymus lyra","RMR",1.68752896121463,0.26502076105186,11,1.84086,48.6999999999995,"non.restbase",285,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 48.7",2,2
"293","fish","Callionymus lyra","RMR",1.9329808219232,0.510472621760424,11,3.23946,85.7000000000004,"non.restbase",286,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 85.7",2,2
"294","fish","Callionymus lyra","RMR",2.02118929906994,0.188506633818114,11.5,1.5435,105,"non.restbase",287,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"295","fish","Callionymus lyra","RMR",2.02118929906994,0.297651103243182,11.5,1.9845,105,"non.restbase",288,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"296","fish","Callionymus lyra","RMR",2.02118929906994,0.384801278962082,11.5,2.4255,105,"non.restbase",289,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"297","fish","Callionymus lyra","RMR",2.02118929906994,0.422589839851482,11.5,2.646,105,"non.restbase",290,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"298","fish","Callionymus lyra","RMR",2.02118929906994,0.446070935701005,11.5,2.793,105,"non.restbase",291,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"299","fish","Callionymus lyra","RMR",2.02118929906994,0.489536629482095,11.5,3.087,105,"non.restbase",292,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"300","fish","Callionymus lyra","RMR",2.02118929906994,0.582290682718994,11.5,3.822,105,"non.restbase",293,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"301","fish","Callionymus lyra","RMR",2.02118929906994,0.614475366090395,11.5,4.116,105,"non.restbase",294,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"302","fish","Callionymus lyra","RMR",2.02118929906994,0.637139350726339,11.5,4.3365,105,"non.restbase",295,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"303","fish","Callionymus lyra","RMR",2.02118929906994,0.698796251790431,11.5,4.998,105,"non.restbase",296,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"304","fish","Callionymus lyra","RMR",2.02118929906994,0.71754568780327,11.5,5.2185,105,"non.restbase",297,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"305","fish","Callionymus lyra","RMR",2.02118929906994,0.741348602475895,11.5,5.5125,105,"non.restbase",298,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"306","fish","Callionymus lyra","RMR",2.02118929906994,0.747100931364986,11.5,5.586,105,"non.restbase",299,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"307","fish","Callionymus lyra","RMR",2.02118929906994,0.774772357962845,11.5,5.95350000000001,105,"non.restbase",300,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"308","fish","Callionymus lyra","RMR",2.02118929906994,0.805806591702813,11.5,6.39449999999999,105,"non.restbase",301,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"309","fish","Callionymus lyra","RMR",2.02118929906994,0.815677345729108,11.5,6.5415,105,"non.restbase",302,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"310","fish","Callionymus lyra","RMR",2.02118929906994,0.82052984852352,11.5,6.615,105,"non.restbase",303,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"311","fish","Callionymus lyra","RMR",2.02118929906994,0.825328731405289,11.5,6.68850000000001,105,"non.restbase",304,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"312","fish","Callionymus lyra","RMR",2.02118929906994,0.83477028763813,11.5,6.8355,105,"non.restbase",305,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"313","fish","Callionymus lyra","RMR",2.02118929906994,0.844010944373043,11.5,6.98250000000001,105,"non.restbase",306,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"314","fish","Callionymus lyra","RMR",2.02118929906994,0.848558572123763,11.5,7.05599999999999,105,"non.restbase",307,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Callionymus lyra 105",2,2
"320","fish","Catostomus commersonii","RMR",1.84509804001426,0.587823171318955,15,3.871,70.0000000000005,"non.restbase",313,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Catostomus commersonii 70",2,2
"321","fish","Catostomus commersonii","RMR",1.85733249643127,0.246498580795801,10,1.764,72.0000000000003,"non.restbase",314,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Catostomus commersonii 72",2,1
"322","fish","Catostomus commersonii","RMR",1.97772360528885,0.868144624089762,20,7.3815,95.0000000000005,"non.restbase",315,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Catostomus commersonii 95",2,2
"323","fish","Catostomus commersonii","RMR",2,0.389166084364532,10,2.45,100,"non.restbase",316,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Catostomus commersonii 100",2,1
"324","fish","Catostomus commersonii","RMR",2,0.447158031342219,10,2.8,100,"non.restbase",317,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Catostomus commersonii 100",2,1
"325","fish","Catostomus commersonii","RMR",2,0.720159303405957,20,5.25,100,"non.restbase",318,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Catostomus commersonii 100",2,2
"326","fish","Catostomus commersonii","RMR",2,0.7481880270062,15,5.6,100,"non.restbase",319,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Catostomus commersonii 100",2,2
"327","fish","Catostomus commersonii","RMR",2,0.886490725172482,20,7.7,100,"non.restbase",320,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Catostomus commersonii 100",2,2
"330","fish","Chaenocephalus aceratus","RMR",3.05307844348342,1.15344898860098,2,14.2379999999999,1130,"non.restbase",323,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Chaenocephalus aceratus 1130",3,1
"331","fish","Chaenocephalus aceratus","RMR",3.05307844348342,1.24059916431988,2,17.4019999999999,1130,"non.restbase",324,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Chaenocephalus aceratus 1130",3,1
"332","fish","Chaenocephalus aceratus","RMR",3.05307844348342,1.29611649216971,2,19.7749999999998,1130,"non.restbase",325,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Chaenocephalus aceratus 1130",3,1
"333","fish","Chaenocephalus aceratus","RMR",3.05307844348342,1.36057448139663,2,22.9389999999999,1130,"non.restbase",326,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Chaenocephalus aceratus 1130",3,1
"334","fish","Chaenocephalus aceratus","RMR",3.05307844348342,1.38953817733195,6,24.521,1130,"non.restbase",327,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Chaenocephalus aceratus 1130",3,1
"335","fish","Chaenocephalus aceratus","RMR",3.05307844348342,1.44224452784795,4,27.6849999999999,1130,"non.restbase",328,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Chaenocephalus aceratus 1130",3,1
"336","fish","Chaenocephalus aceratus","RMR",3.05307844348342,1.46637820756467,8,29.2669999999999,1130,"non.restbase",329,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Chaenocephalus aceratus 1130",3,1
"338","fish","Chaenocephalus aceratus","RMR",3.05307844348342,1.48924109052418,6,30.8490000000003,1130,"non.restbase",331,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Chaenocephalus aceratus 1130",3,1
"341","fish","Chaenocephalus aceratus","RMR",3.05307844348342,1.50023647482564,4,31.6400000000001,1130,"non.restbase",334,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Chaenocephalus aceratus 1130",3,1
"343","fish","Chaenocephalus aceratus","RMR",3.05307844348342,1.52142577389558,6,33.2220000000002,1130,"non.restbase",336,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Chaenocephalus aceratus 1130",3,1
"344","fish","Chaenocephalus aceratus","RMR",3.05307844348342,1.54162915998386,4,34.8039999999997,1130,"non.restbase",337,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Chaenocephalus aceratus 1130",3,1
"345","fish","Chaenocephalus aceratus","RMR",3.05307844348342,1.55138899727302,10,35.595,1130,"non.restbase",338,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Chaenocephalus aceratus 1130",3,1
"346","fish","Chaenocephalus aceratus","RMR",3.05307844348342,1.57027434143339,4,37.1769999999997,1130,"non.restbase",339,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Chaenocephalus aceratus 1130",3,1
"347","fish","Chaenocephalus aceratus","RMR",3.05307844348342,1.58837256352619,4,38.759,1130,"non.restbase",340,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Chaenocephalus aceratus 1130",3,1
"349","fish","Chaenocephalus aceratus","RMR",3.05307844348342,1.5971464878337,4,39.5500000000004,1130,"non.restbase",342,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Chaenocephalus aceratus 1130",3,1
"350","fish","Chaenocephalus aceratus","RMR",3.05307844348342,1.71108984014053,6,51.4149999999997,1130,"non.restbase",343,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Chaenocephalus aceratus 1130",3,1
"379","fish","Cirrhinus cirrhosus","RMR",0.531478917042255,-0.838093207932721,20,0.14518,3.4,"non.restbase",372,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cirrhinus cirrhosus 3.4",1,2
"380","fish","Cirrhinus cirrhosus","RMR",0.531478917042255,-0.68892459169992,30,0.20468,3.4,"non.restbase",373,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cirrhinus cirrhosus 3.4",1,3
"381","fish","Cirrhinus cirrhosus","RMR",0.627365856592733,-0.150959146336499,30.5,0.706383999999999,4.24,"non.restbase",374,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cirrhinus cirrhosus 4.24",1,3
"382","fish","Cirrhinus cirrhosus","RMR",0.693726948923647,-0.124715277213567,30.5,0.750386,4.94,"non.restbase",375,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cirrhinus cirrhosus 4.94",1,3
"383","fish","Cirrhinus cirrhosus","RMR",1.05307844348342,0.207806650923575,30.5,1.61364,11.3,"non.restbase",376,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cirrhinus cirrhosus 11.3",2,3
"384","fish","Cirrhinus cirrhosus","RMR",1.29622628726116,0.406142150284954,30.5,2.547664,19.78,"non.restbase",377,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cirrhinus cirrhosus 19.78",2,3
"385","fish","Cirrhinus cirrhosus","RMR",1.36772854608698,0.458339253915383,30.5,2.873024,23.3200000000002,"non.restbase",378,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cirrhinus cirrhosus 23.32",2,3
"386","fish","Cirrhinus cirrhosus","RMR",1.50242711998443,0.567633248038745,30.5,3.69516,31.7999999999998,"non.restbase",379,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cirrhinus cirrhosus 31.8",2,3
"387","fish","Cirrhinus cirrhosus","RMR",1.68806369694634,0.723493435130893,30.5,5.29046,48.7599999999995,"non.restbase",380,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cirrhinus cirrhosus 48.76",2,3
"388","fish","Cirrhinus cirrhosus","RMR",1.80345711564841,0.812908011447108,30.5,6.49992,63.5999999999994,"non.restbase",381,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cirrhinus cirrhosus 63.6",2,3
"389","fish","Cirrhinus cirrhosus","RMR",1.97772360528885,0.956360553673322,30.5,9.044,95.0000000000005,"non.restbase",382,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cirrhinus cirrhosus 95",2,3
"390","fish","Cirrhinus cirrhosus","RMR",2.08635983067475,1.04540122299584,30.5,11.102,122.000000000001,"non.restbase",383,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cirrhinus cirrhosus 122",2,3
"391","fish","Cirrhinus cirrhosus","RMR",2.19033169817029,1.1323397511926,30.5,13.5624999999999,154.999999999999,"non.restbase",384,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cirrhinus cirrhosus 155",2,3
"392","fish","Cirrhinus cirrhosus","RMR",2.25527250510331,1.19027565655696,30.5,15.498,180.000000000002,"non.restbase",385,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cirrhinus cirrhosus 180",2,3
"444","fish","Cyclothone acclinidens","RMR",-0.638272163982407,-2.13041629228658,3,0.00740599999999993,0.23,"non.restbase",432,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cyclothone acclinidens 0.23",1,1
"445","fish","Cyclothone acclinidens","RMR",-0.638272163982407,-2.09420411963213,3,0.00805000000000003,0.23,"non.restbase",433,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cyclothone acclinidens 0.23",1,1
"446","fish","Cyclothone acclinidens","RMR",-0.283996656365201,-1.96177736163128,3,0.01092,0.52,"non.restbase",434,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cyclothone acclinidens 0.52",1,1
"447","fish","Cyclothone acclinidens","RMR",-0.283996656365201,-1.88259611558366,3,0.0131039999999999,0.52,"non.restbase",435,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cyclothone acclinidens 0.52",1,1
"448","fish","Cyclothone acclinidens","RMR",-0.0604807473813815,-1.83517146565552,3,0.014616,0.87,"non.restbase",436,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cyclothone acclinidens 0.87",1,1
"449","fish","Cyclothone acclinidens","RMR",-0.0604807473813815,-1.78401894320814,3,0.0164429999999999,0.87,"non.restbase",437,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cyclothone acclinidens 0.87",1,1
"450","fish","Cyprinus carpio carpio","RMR",1,-0.0979971086492706,10,0.798,10,"non.restbase",438,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cyprinus carpio carpio 10",2,1
"451","fish","Cyprinus carpio carpio","RMR",1,0.000434077479318593,15,1.001,10,"non.restbase",439,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cyprinus carpio carpio 10",2,2
"452","fish","Cyprinus carpio carpio","RMR",1,0.161068385471175,20,1.449,10,"non.restbase",440,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cyprinus carpio carpio 10",2,2
"453","fish","Cyprinus carpio carpio","RMR",2.02530586526477,0.891593204348965,30,7.791,106,"non.restbase",441,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cyprinus carpio carpio 106",2,3
"454","fish","Cyprinus carpio carpio","RMR",2.12710479836481,1.04408484568519,35,11.0684,134.000000000001,"non.restbase",442,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cyprinus carpio carpio 134",2,3
"455","fish","Cyprinus carpio carpio","RMR",2.16435285578444,0.690692133174281,20,4.9056,146.000000000001,"non.restbase",443,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cyprinus carpio carpio 146",2,2
"456","fish","Cyprinus carpio carpio","RMR",2.2405492482826,0.316096209675131,10,2.0706,174,"non.restbase",444,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Cyprinus carpio carpio 174",2,1
