"","ThermoMode","Group","ID","Lineage1.name","Lineage2.name","Lineage1.Mean.dS","Lineage2.Mean.dS","Lineage1.Mean.dN","Lineage2.Mean.dN","Lineage1.Mean.dNdS","Lineage2.Mean.dNdS","Lineage1.spp","Lineage2.spp","diff.dn.sd","diff.ds.sd","diff.dnds.sd","diff.dn","diff.ds","diff.dnds","diff.spp"
"1","Ectotherms","Fishes",1,"Acipenseridae","Polyodontidae",0.1257689,0.11166366655,0.0029561,0.00418306665,0.0253008142000907,0.0422066915178715,25,2,0.128607938271777,0.65281517890561,0.639913039115362,-0.352564608808239,0.107332319682696,-0.459896928490935,2.52572864430826
"2","Ectotherms","Fishes",2,"Lepisosteidae","Amiidae",0.3755735334,0.4365717334,0.0188731334,0.0163462,0.0506285061732037,0.0374897415580533,7,1,0.00428368510217227,0.135296347577323,0.131066959444393,0.143765288988631,-0.153271823733355,0.297037112721986,1.94591014905531
"3","Ectotherms","Fishes",3,"Elopidae","Megalopidae",0.360291,0.35902291675,0.00730841675,0.010208583,0.0204151864887466,0.0284910112489386,7,2,0.0524931063027882,0.0735436556408186,0.0574876581685851,-0.333062982600657,0.000804551459027969,-0.333867534059685,1.25276296849537
"4","Ectotherms","Fishes",4,"Notacanthidae","Halosauridae",0.3088060835,0.17724325025,0.0048375835,0.00305966675,0.0157157835242513,0.0174803183644698,11,16,0.142658955867568,0,0.196796971184489,-0.454406609506266,-0.0328277529936378,0.105000778668631,0.37469344944141
"5","Ectotherms","Fishes",5,"Anguillidae","Serrivomeridae+Nemichthyidae",0.270828538883333,0.47249516115,0.00488981115,0.00919781108333333,0.0182954376388421,0.0225608144577251,23,20,0.20424511397567,0.467338315857793,0.340661565937897,-0.583770284620257,-0.416163408486953,-0.167606876133304,0.139761942375159
"6","Ectotherms","Fishes",6,"Eurypharyngidae+Moringuidae","Saccopharyngidae",0.525385555333333,0.582959222,0.014801111,0.0360283333333333,0.0335372181288528,0.0625070786395902,16,10,0.348250900680957,0.194151979019025,0.54220220520541,-0.900543344099438,-0.139896335494647,-0.760647008604791,0.470003629245735
"7","Ectotherms","Fishes",7,"Chlopsidae","Muraenidae+Heterenchelyidae",0.566136759166667,0.751574425944444,0.0151572222222222,0.0153809443888889,0.028107420941502,0.0214460873792542,22,209,0.151115380006467,0,0.208803538888625,0.0185018532031304,-0.3048536743224,-0.271896537170002,2.25129179860649
"8","Ectotherms","Fishes",8,"Colocongridae","Derichthyidae",0.171775667,0.168268833,0.0070466665,0.008903333,0.0410334169467411,0.0521530552534394,9,3,0.402169055762225,0.349291967358488,0.052877088403737,-0.189877399584821,0.0482740848483981,-0.238151484433219,1.09861228866811
"9","Ectotherms","Fishes",9,"Ophichthidae","Muraenesocidae",0.360586044466667,0.4691229332,0.0124461332,0.0212175999333333,0.0346026102505884,0.0447768609082439,313,15,0.303475150132787,0.196279040110514,0.124284923807036,-0.510650162903244,-0.254355942172606,-0.256294220730638,3.03815298943794
"10","Ectotherms","Fishes",10,"Congridae","Nettastomatidae",0.446168222066667,0.331064511,0.0147441112,0.00713611106666667,0.0302869789057127,0.0220099391176076,194,42,0.595558340252105,0.36541562349297,0.273493107761136,0.55295750122053,0.27832175182866,0.274635749391871,1.53018854077996
"11","Ectotherms","Fishes",11,"Notopteridae","Mormyridae+Gymnarchidae",0.652026016683333,0.543484538833333,0.0144817944666667,0.00996492776666667,0.0225449405133845,0.0190307598997319,10,223,0.149128926682437,0,0.142677803156481,-0.371706569355484,-0.164062806899784,-0.173903650557049,3.10458667846607
"12","Ectotherms","Fishes",12,"Alepocephalidae","Platytroctidae",0.169498983375,0.156194325,0.006264608325,0.006731049975,0.0385151563222736,0.0444810446792573,98,39,0.34030149325991,0.542384899117513,0.485803630457971,-0.117256512968239,0.0711928910558812,-0.18844940402412,0.921405832540926
"13","Ectotherms","Fishes",13,"Clupeidae","Dussumieriidae",0.5378811167,0.4241321334,0.00874441675,0.0155376998,0.0181987479206253,0.0362020038976646,200,9,0.425200909992108,0.442207263385691,0.452705790415233,-0.547284982808081,0.157440090944864,-0.704725073752945,3.10109278921182
"14","Ectotherms","Fishes",14,"Pristigasteridae","Chirocentridae",0.50232075,1.09212116675,0.0099275,0.02066175,0.0199327156300694,0.0190768849804607,38,3,0.0821345757603067,0.0637554816741122,0.137849141363469,-0.735776079179004,-0.776276863726747,0.0405007845477432,2.53897387105828
"15","Ectotherms","Fishes",15,"Kneriidae","Chanidae",0.542512889,0.396118778,0.018118111,0.00876055566666667,0.0333931754949221,0.022212950359799,31,1,0.0978122071310113,0.0286243712714195,0.0694343738363184,0.721793865807546,0.312578602736127,0.409215263071419,3.43398720448515
"16","Ectotherms","Fishes",17,"Balitoridae","Serpenticobitidae",0.2462401,0.1968812666,0.0058650001,0.0025743667,0.0235903455650277,0.0132585689735478,246,3,0.421061503617268,0.222029186078766,0.349921855722365,0.734739643199713,0.224673125122231,0.510066518077482,4.40671924726425
"17","Ectotherms","Fishes",18,"Gymnotidae","Hypopomidae+Rhamphichthyidae",0.449336111,0.430807111,0.0195901113333333,0.017106111,0.0439005220904749,0.0401374558717656,40,42,0.25462454889632,0,0.0767893180383208,-0.103457695549575,0.318606519653333,-0.0927410736319924,0.0487901641694322
"18","Ectotherms","Fishes",19,"Distichodontidae","Citharinidae",0.363613,0.309946667,0.008770333,0.006092,0.0241199654577807,0.019654994386502,99,8,NA,NA,NA,0.364398340983798,0.159689874496741,0.204708466487058,2.51567830845475
