"","Group","clade","dN","dS","dN.SD","dS.SD","diff.sp","ThermoMode"
"1","Fishes",1,-0.352564608808239,0.107332319682696,0.128607938271777,0.65281517890561,2.52572864430826,"Ectotherms"
"2","Fishes",2,0.143765288988631,-0.153271823733355,0.00428368510217227,0.135296347577323,1.94591014905531,"Ectotherms"
"3","Fishes",3,-0.333062982600657,0.000804551459027969,0.0524931063027882,0.0735436556408186,1.25276296849537,"Ectotherms"
"4","Fishes",4,-0.454406609506266,-0.559407388174897,0.142658955867568,0.0787976124147922,0.37469344944141,"Ectotherms"
"5","Fishes",5,-0.583770284620257,-0.416163408486953,0.20424511397567,0.467338315857793,0.139761942375159,"Ectotherms"
"6","Fishes",6,-0.900543344099438,-0.139896335494647,0.348250900680957,0.194151979019025,0.470003629245735,"Ectotherms"
"7","Fishes",7,0.0185018532031304,0.290398390373132,0.151115380006467,0.35117902964721,2.25129179860649,"Ectotherms"
"8","Fishes",8,-0.189877399584821,0.0482740848483981,0.402169055762225,0.349291967358488,1.09861228866811,"Ectotherms"
"9","Fishes",9,-0.510650162903244,-0.254355942172606,0.303475150132787,0.196279040110514,3.03815298943794,"Ectotherms"
"10","Fishes",10,0.55295750122053,0.27832175182866,0.595558340252105,0.36541562349297,1.53018854077996,"Ectotherms"
"11","Fishes",11,-0.371706569355484,-0.197802918798435,0.149128926682437,0.151559438783962,3.10458667846607,"Ectotherms"
"12","Fishes",12,-0.117256512968239,0.0711928910558812,0.34030149325991,0.542384899117513,0.921405832540926,"Ectotherms"
"13","Fishes",13,-0.547284982808081,0.157440090944864,0.425200909992108,0.442207263385691,3.10109278921182,"Ectotherms"
"14","Fishes",14,-0.735776079179004,-0.776276863726747,0.0821345757603067,0.0637554816741122,2.53897387105828,"Ectotherms"
"15","Fishes",15,0.721793865807546,0.312578602736127,0.0978122071310113,0.0286243712714195,3.43398720448515,"Ectotherms"
"16","Fishes",17,0.734739643199713,0.224673125122231,0.421061503617268,0.222029186078766,4.40671924726425,"Ectotherms"
"17","Fishes",18,-0.103457695549575,-0.0107166219175829,0.25462454889632,0.182167778950341,0.0487901641694322,"Ectotherms"
"18","Fishes",19,0.364398340983798,0.159689874496741,NA,NA,2.51567830845475,"Ectotherms"
"19","Fishes",20,-0.16813333714631,-0.0705926874554522,0.0436442815670642,0.0879391136482267,1.63413052502447,"Ectotherms"
"20","Fishes",21,0.790578192109837,-0.112675111191448,0.344610701839758,0.290285028116373,0.405465108108165,"Ectotherms"
"21","Fishes",22,0.217848383534442,-0.309850696142562,NA,NA,3.40119738166216,"Ectotherms"
"22","Fishes",23,-0.785728263188266,-0.247822112868639,NA,NA,1.38629436111989,"Ectotherms"
