ThermoMode,Group,ID,Lineage1.Name,Lineage2.Name,Lineage1.Mean.dS,Lineage2.Mean.dS,Lineage1.Mean.dN,Lineage2.Mean.dN,Lineage1.Spp,Lineage2.Spp,Diff.dS,Diff.dS.SD,Diff.dN,Diff.dN.SD,Diff.Spp
Endotherms,Mammals,34,Otariidae+Odobenidae,Phocidae,0.30129847,0.196514263,0.01018218,0.007035887,17,19,-0.429139346,0.118002183,-0.367525482,0.098549074,0.111225635
Endotherms,Mammals,35,Procyonidae,Mustelidae,0.412153967,0.320583067,0.013883633,0.00917765,14,66,-0.251378467,0.060571998,-0.404590626,0.159762059,1.550597412
Endotherms,Mammals,36,Equidae,Tapiridae+Rhinocerotidae,0.301913646,0.224965438,0.007100742,0.007898675,9,9,0.295548339,0.108278846,-0.107123635,0.103733998,0
Endotherms,Mammals,37,Tayassuidae,Suidae,0.353133286,0.366460643,0.00823231,0.007261595,3,19,0.036488521,0.174943271,-0.120383145,0.114419577,1.84582669
Endotherms,Mammals,38,Balaenopteridae,Eschrichtiidae,0.077391111,0.087478852,0.002781704,0.003671333,9,1,-0.13516392,0.181604565,-0.289762287,0.164398636,2.197224577
Endotherms,Mammals,39,Physeteridae,Kogiidae,0.246762833,0.268599667,0.008769667,0.0081915,1,2,0.086278466,0.160952721,-0.068088125,0.016959216,0.693147181
Endotherms,Mammals,40,Lipotidae,Pontoporiidae+Iniidae,0.316938334,0.327990834,0.012687,0.012978,1,2,0.032177126,0.110248508,0.020696777,0.076196973,0.693147181
Endotherms,Mammals,41,Phocoenidae+Monodontidae,Delphinidae,0.216573554,0.156337933,0.005949313,0.004844208,9,38,-0.303131848,0.269919192,-0.20549146,0.083133846,1.440361582
Endotherms,Mammals,42,Antilocapridae,Giraffidae,0.433744,0.214579834,0.004726,0.007411167,1,2,-0.70614855,0.042689327,0.44892561,0.17434428,0.693147181
Endotherms,Mammals,43,Moschidae+Cervidae,Bovidae,0.253073443,0.271795977,0.005101083,0.00537695,63,144,0.072069611,0.159559292,0.048502869,0.225020471,0.826678573
Endotherms,Birds,1,Casuariidae,Apterygidae,0.288725972,0.191352833,0.004595583,0.007873083,4,5,-0.411392946,0.051566745,0.539050572,0.068918726,0.223143551
Endotherms,Birds,2,Rheidae,Tinamidae,0.325024583,0.717049067,0.00689075,0.019406883,2,46,0.790707887,0.146872456,1.02987303,0.106724669,3.135494216
Endotherms,Birds,3,Anseranatidae,Anatidae,0.224350767,0.664037633,0.0058367,0.012192333,1,174,1.08620701,0.090361304,0.733523831,0.101509713,5.159055299
Endotherms,Birds,4,Odontophoridae,Phasianidae,0.30207588,0.270831593,0.008930973,0.007949693,34,185,-0.114211053,0.156776021,-0.117781315,0.13616277,1.6939953
Endotherms,Birds,5,Mesitornithidae,Pteroclidae,0.473335333,0.348130778,0.015948556,0.009414667,3,16,-0.308636095,0.057055375,-0.52996509,0.10454948,1.673976434
Endotherms,Birds,6,Otididae,Cuculidae,0.2930094,0.598656233,0.00862485,0.014225392,26,150,0.709735921,0.146288662,0.495090331,0.118893789,1.752538756
Endotherms,Birds,7,Sarothruridae+Heliornithidae,Rallidae,0.526061617,0.395931867,0.014554967,0.0106883,18,152,-0.244017087,0.39143448,-0.292439886,0.239883419,2.133508763
Endotherms,Birds,8,Aramidae,Gruidae,0.217167333,0.1905483,0.0045424,0.0052093,1,15,-0.130642002,0.058617396,0.135077868,0.095989532,2.708050201
Endotherms,Birds,9,Burhinidae,Chionidae+Pluvianellidae,0.271204,0.374624,0.007165,0.006919333,10,3,-0.323051551,NA,0.034888635,NA,1.203972804
Endotherms,Birds,10,Recurvirostridae,Ibidorhynchidae+Haematopodidae,0.174871278,0.186002833,0.0031635,0.004977889,10,13,0.037162443,0.253903938,0.426676936,0.196797631,0.262364264
Endotherms,Birds,11,Jacanidae,Rostratulidae,0.274036889,0.236512111,0.006718833,0.007031056,8,3,0.15356192,0.156943876,-0.039076801,0.140471788,0.980829253
Endotherms,Birds,12,Dromadidae,Glareolidae,0.217121667,0.346898333,0.004190167,0.004733,1,17,0.467222191,0.102089232,0.11954231,0.095967725,2.833213344
Endotherms,Birds,13,Alcidae+Stercorariidae,Laridae,0.250092748,0.268704141,0.004866526,0.004905111,32,103,0.072792611,0.099818045,0.008416174,0.129981201,1.168993085
Endotherms,Birds,14,Steatornithidae,Nyctibiidae,0.303589,0.377773111,0.008727333,0.009819444,1,7,0.2169965,0.180383514,0.116079347,0.108162571,1.945910149
Endotherms,Birds,15,Hemiprocnidae+Apodidae,Trochilidae,0.284302533,0.566327517,0.007584333,0.011648292,117,362,0.694165364,0.1563978,0.43061315,0.091928804,1.129470277
Endotherms,Birds,16,Eurypygidae,Rhynochetidae,0.340423667,0.265796,0.009474333,0.009335667,1,1,0.247461823,NA,0.014744198,NA,0
Endotherms,Birds,17,Hydrobatidae,Procellariidae,0.318446071,0.269129667,0.009498071,0.006454643,18,100,-0.167804423,0.125201405,-0.394551161,0.195074627,1.714798428
Endotherms,Birds,18,Balaenicipitidae,Pelecanidae+Scopidae,0.216800667,0.340123222,0.007157111,0.007631,1,9,0.439667604,0.2017989,0.039955348,0.262946062,2.197224577
Endotherms,Birds,19,Anhingidae,Phalacrocoracidae,0.297398178,0.347633311,0.009970622,0.008813822,4,42,0.158008705,0.077360201,-0.121886862,0.035611894,2.351375257
Endotherms,Birds,20,Tytonidae,Strigidae,0.404680133,0.453095756,0.018309233,0.016290611,20,234,0.103596532,0.218734093,-0.12961096,0.19228444,2.459588842
Endotherms,Birds,21,Pandionidae+Sagittariidae,Accipitridae,0.32819245,0.295509433,0.0112551,0.0102117,2,255,-0.117579954,0.261676227,-0.124186791,0.261874557,4.848116365
Endotherms,Birds,22,Bucerotidae,Bucorvidae,0.2380415,0.155472519,0.006380315,0.006127278,59,2,0.425123641,0.229510859,0.038381396,0.098681731,3.384390263
Endotherms,Birds,23,Phoeniculidae,Upupidae,0.4875155,0.513271,0.0196775,0.014097667,9,4,-0.058673523,0.124247101,0.320201839,0.219164631,0.810930216
Endotherms,Birds,24,Brachypteraciidae,Coraciidae,0.27890475,0.317360667,0.0076655,0.009453167,5,13,0.130502449,0.079220709,0.20899518,0.064942367,0.955511445
Endotherms,Birds,25,Momotidae,Alcedinidae,0.428687133,0.38455075,0.011162983,0.010677733,14,116,-0.112518123,0.113116661,-0.049124647,0.107828463,2.114532861
Endotherms,Birds,26,Bucconidae,Galbulidae,0.36073763,0.421868704,0.011975593,0.013815889,38,18,-0.161130592,0.161819941,-0.142206374,0.099412228,0.747214402
Endotherms,Birds,27,Picidae,Indicatoridae,0.361525289,0.333899944,0.009508911,0.010678222,239,17,0.105080626,0.353776246,-0.105984982,0.174732713,2.643250208
Endotherms,Birds,28,Capitonidae,Ramphastidae+Semnornithidae,0.317867389,0.234971889,0.010067167,0.007588889,15,45,-0.306266307,0.134265621,-0.276951826,0.163197728,1.098612289
Endotherms,Birds,29,Psittacidae,Psittaculidae,0.30614898,0.227541357,0.009735953,0.006579063,181,197,-0.296412243,0.231960658,-0.402400716,0.153550906,0.084706697
Endotherms,Birds,30,Philepittidae,Eurylaimidae,0.305278667,0.392587,0.008876333,0.011957333,4,9,0.251533148,NA,0.297956199,NA,0.810930216
Endotherms,Birds,31,Sapayoidae,Pittidae,0.395001833,0.331409167,0.010836333,0.009666333,1,44,-0.175452156,0.01562256,-0.114386669,0.032782276,3.784189634
Endotherms,Birds,32,Formicariidae,Furnariidae,0.414154133,0.306395067,0.012835133,0.007958533,12,315,-0.301305486,0.045314483,-0.479943286,0.072263043,3.267665989
Endotherms,Birds,33,Tityridae,Tyrannidae,0.32613546,0.399462159,0.008209857,0.009915127,45,438,0.200773321,0.132743401,0.182878058,0.161467985,2.275556421
Endotherms,Birds,34,Atrichornithidae,Menuridae,0.309699667,0.318109333,0.012792333,0.009063,2,2,-0.026792129,NA,0.344645842,NA,0
Endotherms,Birds,35,Climacteridae,Ptilonorhynchidae,0.435548444,0.445280111,0.009835667,0.010869,7,28,0.03154171,0.112211711,0.099258775,0.028357304,1.386294361
Endotherms,Birds,36,Acanthizidae,Pardalotidae,0.254961542,0.268704458,0.0056375,0.00648875,67,4,-0.053648882,0.112473526,-0.144052765,0.112611602,2.818398258
Endotherms,Birds,37,Orthonychidae,Pomatostomidae,0.366578,0.326939333,0.011458667,0.009922667,3,5,-0.114436694,NA,-0.143924655,NA,0.510825624
Endotherms,Birds,38,Ifritidae+Corcoracidae,Paradisaeidae,0.204317333,0.262651,0.006396833,0.006852667,3,45,0.251136695,0.004650837,0.07030078,0.049856076,2.708050201
Endotherms,Birds,39,Laniidae+Platylophidae,Corvidae,0.301850215,0.226944815,0.010115785,0.00683103,35,135,-0.285020812,0.057147376,-0.401964509,0.154988445,1.349926717
Endotherms,Birds,40,Platysteiridae,Vangidae,0.216189,0.260270667,0.006253,0.007306,32,39,0.18556909,NA,0.15563458,NA,0.197825743
Endotherms,Birds,41,Oreoicidae,Falcunculidae+Psophodidae,0.287118667,0.196444667,0.008794333,0.005741667,3,7,-0.379514806,NA,-0.426358046,NA,0.84729786
Endotherms,Birds,42,Pachycephalidae,Oriolidae,0.232561844,0.2864706,0.005776667,0.009076578,64,39,-0.206331186,0.139655245,-0.447067703,0.116754841,0.495321437
Endotherms,Birds,43,Paramythiidae,Vireonidae,0.303147167,0.33077125,0.00579125,0.00893325,3,64,0.083512719,0.088843284,0.431056964,0.097142139,3.060270795
Endotherms,Birds,44,Callaeidae,Notiomystidae,0.28531325,0.370820917,0.010020667,0.009327583,5,1,-0.261493828,0.046833091,0.069944668,0.08029748,1.609437912
Endotherms,Birds,45,Chaetopidae+Eupetidae,Picathartidae,0.287862,0.312178667,0.013776,0.009593,3,2,-0.081094475,NA,0.361894282,NA,0.405465108
Endotherms,Birds,46,Remizidae,Paridae,0.288323217,0.2389532,0.0077138,0.006289333,11,64,-0.190162729,0.061238083,-0.206432973,0.075585914,1.760987811
Endotherms,Birds,47,Alaudidae,Panuridae,0.319848667,0.299824933,0.007414533,0.007197533,100,1,0.064300139,0.085163818,0.029253807,0.03462147,4.605170186
Endotherms,Birds,48,Locustellidae,Bernieridae+Donacobiidae,0.273724625,0.33424975,0.007407542,0.007971958,67,12,-0.189568266,0.240929175,-0.057353076,0.254389688,1.71978597
Endotherms,Birds,49,Phylloscopidae,Hyliidae+Aegithalidae+Erythrocercidae+Cettiidae,0.271885726,0.278137389,0.00653367,0.007042752,81,51,-0.018930926,0.180589226,-0.069975839,0.161121121,0.462623522
Endotherms,Birds,50,Paradoxornithidae,Sylviidae,0.237871163,0.294456919,0.007016444,0.008345207,37,34,-0.228022538,0.200549093,-0.183651945,0.176338928,0.084557388
Endotherms,Birds,51,Zosteropidae,Timaliidae,0.290602783,0.272522743,0.006236843,0.007295453,149,265,-0.062693169,0.145687152,0.155911593,0.121797235,0.57578352
Endotherms,Birds,52,Stenostiridae,Hyliotidae,0.350646,0.316184,0.008430667,0.008392333,9,4,0.103452845,NA,0.004557261,NA,0.810930216
Endotherms,Birds,53,Ptiliogonatidae,Mohoidae,0.295680333,0.352945333,0.006612333,0.007449667,4,5,0.177034266,NA,0.119232697,NA,0.223143551
Endotherms,Birds,54,Polioptilidae,Troglodytidae,0.3122715,0.252352833,0.006908083,0.007354833,21,88,-0.21610649,0.134066839,0.062466805,0.025840191,1.432814377
Endotherms,Birds,55,Mimidae,Sturnidae,0.229643778,0.192594074,0.005296037,0.005384259,34,126,-0.177180508,0.160356218,0.01309048,0.103971206,1.309921382
Endotherms,Birds,56,Turdidae,Muscicapidae,0.266493487,0.236889303,0.006676743,0.005179587,174,344,-0.120005455,0.101540755,-0.255393529,0.189870793,0.681586358
Endotherms,Birds,57,Dicaeidae,Nectariniidae,0.244903333,0.233253667,0.008322667,0.005803167,50,146,-0.04845784,0.070716144,-0.362039608,0.063874674,1.071583616
Endotherms,Birds,58,Viduidae,Estrildidae,0.2691759,0.241842017,0.008505033,0.005616867,20,142,-0.105921834,0.135129956,-0.423713166,0.173190147,1.960094784
Endotherms,Birds,59,Calcariidae,Emberizidae,0.2037587,0.221990467,0.003202433,0.004295933,6,45,0.087121683,0.063597559,0.288567543,0.119834563,2.014903021
Endotherms,Birds,60,Cardinalidae,Thraupidae+Mitrospingidae,0.215285917,0.204732633,0.003627103,0.00459696,53,390,-0.052772195,0.125239505,0.231702389,0.155428182,1.995854826
Endotherms,Birds,61,Parulidae,Icteridae,0.211690224,0.222657347,0.002590204,0.004173816,120,110,-0.050411869,0.131121517,-0.469032379,0.150683036,0.087011377
