ThermoMode,Group,ID,Lineage1.Name,Lineage2.Name,Lineage1.Mean.dS,Lineage2.Mean.dS,Lineage1.Mean.dN,Lineage2.Mean.dN,Lineage1.Spp,Lineage2.Spp,Diff.dS,Diff.dS.SD,Diff.dN,Diff.dN.SD,Diff.Spp
Ectotherms,Fishes,35,Mochokidae,Malapteruridae,0.327392,0.449819,0.005449667,0.010596333,209,21,-0.31768705,NA,-0.664953492,NA,2.297811814
Ectotherms,Fishes,36,Salmonidae,Esocidae+Umbridae,0.430333919,0.513587078,0.007134181,0.015850174,222,14,-0.148394772,0.256091358,-0.797665441,0.106675438,2.763620052
Ectotherms,Fishes,37,Argentinidae,Opisthoproctidae,0.316218333,0.25163,0.007101667,0.011817667,27,19,0.228473148,NA,-0.50926607,NA,0.351397887
Ectotherms,Fishes,38,Salangidae,Plecoglossidae,0.350487167,0.3402965,0.009163833,0.002784792,20,3,0.030233726,0.095421676,0.917368219,0.819174478,1.897119985
Ectotherms,Fishes,40,Myctophidae,Neoscopelidae,0.417266467,0.3452358,0.010488267,0.006625,248,6,0.191022485,0.117377525,0.451214893,0.132833302,3.721669277
Ectotherms,Fishes,41,Percopsidae,Aphredoderidae+Amblyopsidae,0.435366667,0.616436667,0.012436333,0.014026667,2,9,0.347766999,NA,0.120338035,NA,1.504077397
Ectotherms,Fishes,42,Zeidae,Oreosomatidae+Grammicolepididae+Cyttidae,0.29970775,0.12628225,0.00998325,0.004715667,6,16,-0.864783073,0.031792275,-0.744511419,0.063436623,0.980829253
Ectotherms,Fishes,44,Gadidae,Lotidae,0.257154517,0.149929933,0.003621617,0.00237325,25,9,0.6168734,0.623333479,0.455969149,0.264725278,1.021651248
Ectotherms,Fishes,45,Trachipteridae,Regalecidae,0.562611,0.663809167,0.009629667,0.010998,10,3,-0.166345855,0.164124963,-0.139369145,0.14428455,1.203972804
Ectotherms,Fishes,46,Trachichthyidae,Anoplogastridae,0.158650333,0.15372,0.003473667,0.004533,51,2,0.031569851,NA,-0.266173164,NA,3.238678452
Ectotherms,Fishes,47,Melamphaidae,Berycidae,0.230582167,0.125337055,0.010667167,0.003656222,61,10,0.604899078,0.29836803,0.986147887,0.318180468,1.808288771
Ectotherms,Fishes,48,Cetomimidae,Barbourisiidae,0.481767191,0.180022428,0.019514095,0.004353714,30,1,0.929476836,0.433865057,1.453076333,0.385453328,3.401197382
Ectotherms,Fishes,50,Apogonidae,Kurtidae,0.714027767,0.509660833,0.0158426,0.013795433,347,2,0.333571305,0.153878642,0.127045767,0.141985384,5.156177599
Ectotherms,Fishes,51,Odontobutidae,Rhyacichthyidae,0.442535367,0.325818467,0.0171742,0.0058907,22,3,0.29434289,0.210692187,1.021489425,0.278555165,1.992430165
Ectotherms,Fishes,52,Kraemeriidae,Gobiidae+Schindleriidae,0.682997833,0.475297333,0.0267032,0.0122426,9,1770,-0.385128019,0.261295411,-0.813195063,0.297300413,5.281510248
Ectotherms,Fishes,54,Mullidae,Champsodontidae,1.007961083,0.79770975,0.016255417,0.034341417,83,13,0.184092347,0.309309962,-0.74964753,0.070529681,1.85389125
Ectotherms,Fishes,55,Centrolophidae,Arripidae+Pomatomidae,0.251565389,0.325608833,0.009965167,0.010789556,31,5,-0.236917344,0.352968457,0.041383667,0.618747989,1.824549292
Ectotherms,Fishes,56,Trichiuridae,Gempylidae,0.37946725,0.298653783,0.018471717,0.0092654,44,24,0.276599807,0.525650686,0.742382902,0.650559256,0.606135804
Ectotherms,Fishes,57,Stromateidae,Nomeidae+Ariommatidae,0.339890491,0.198891343,0.018961704,0.004657148,15,24,-0.514725274,0.284454012,-1.291276822,0.671869223,0.470003629
Ectotherms,Fishes,58,Synbranchidae,Indostomidae,0.785461217,0.9205465,0.024111833,0.028325167,23,3,-0.170755294,0.581180636,-0.2537566,0.712777285,2.036881927
Ectotherms,Fishes,59,Badidae,Pristolepididae+Nandidae,0.548751,0.406686,0.019917667,0.008692333,21,13,0.299603398,NA,0.829165754,NA,0.47957308
Ectotherms,Fishes,60,Osphronemidae,Anabantidae+Helostomatidae,0.6798254,0.371282767,0.0153758,0.014107833,132,34,0.547837041,0.449020845,0.021499769,0.389120625,1.356441398
Ectotherms,Fishes,61,Polynemidae,Toxotidae,0.479496933,0.256609,0.020334067,0.0108384,43,7,0.629222733,0.130087663,0.621257652,0.169927847,1.815289967
Ectotherms,Fishes,62,Echeneidae,Coryphaenidae+Rachycentridae,0.659108222,0.860333222,0.013417778,0.033927222,8,3,-0.215658146,0.35702408,-0.925164965,0.08690777,0.980829253
Ectotherms,Fishes,63,Istiophoridae,Xiphiidae,0.228205296,0.265082519,0.003281111,0.003289778,11,1,-0.149852276,0.02915672,-0.003285486,0.042402065,2.397895273
Ectotherms,Fishes,64,Pleuronectidae,Scophthalmidae,0.612146433,0.663981333,0.013555633,0.020862033,82,9,-0.086805759,0.127461345,-0.460332389,0.223487359,2.20949467
Ectotherms,Fishes,67,Mugilidae,Ambassidae,0.453789633,0.642795533,0.0149906,0.01743045,79,49,-0.337116081,0.1905098,-0.158194191,0.219618353,0.477627554
Ectotherms,Fishes,69,Bedotiidae,Isonidae,0.357667,0.485149,0.006743667,0.010196333,16,5,-0.304853674,NA,-0.413424304,NA,1.16315081
Ectotherms,Fishes,70,Exocoetidae,Hemiramphidae,0.445165773,0.433218253,0.008989107,0.00950376,68,63,0.081598232,0.228011034,-0.01608014,0.280428668,0.076372979
Ectotherms,Fishes,71,Belonidae,Zenarchopteridae,0.3140404,0.352108067,0.016516367,0.014418333,52,61,0.120389592,0.22029026,0.215539301,0.795070731,0.159630146
Ectotherms,Fishes,73,Fundulidae,Goodeidae+Valenciidae+Profundulidae,0.660062511,0.366763844,0.016690889,0.010980245,46,65,-0.591468995,0.086217451,-0.41887619,0.061264525,0.345745873
Ectotherms,Fishes,74,Himantolophidae,Melanocetidae,0.087384917,0.108002,0.004024833,0.005507,21,6,-0.212155294,0.034314029,-0.314213473,0.037043415,1.252762968
Ectotherms,Fishes,75,Ostraciidae,Aracanidae,0.3974006,0.186240333,0.0052844,0.004212134,26,13,0.756028662,0.118473055,0.229320296,0.169422477,0.693147181
Ectotherms,Fishes,76,Tetraodontidae,Diodontidae,0.514958744,0.558341344,0.014472922,0.010581889,191,18,-0.083792458,0.135735596,0.293993101,0.230600133,2.36190167
Ectotherms,Fishes,77,Monacanthidae,Balistidae,0.49739911,0.45265774,0.013711407,0.007627853,108,42,0.073572234,0.220178317,0.550765142,0.268093524,0.944461609
Ectotherms,Fishes,78,Triacanthidae,Triacanthodidae,0.405047417,0.322174083,0.01755075,0.010029417,7,23,-0.224744874,0.134153227,-0.556202696,0.10902088,1.189584067
Ectotherms,Fishes,79,Siganidae,Caproidae,0.395627191,0.478446214,0.006663619,0.014687357,28,18,-0.153142022,0.264647815,-0.70510452,0.360869595,0.441832752
Ectotherms,Fishes,80,Priacanthidae,Scatophagidae,0.429579583,0.474782792,0.009978125,0.021044375,19,4,-0.158373986,0.346520519,-0.906986901,0.674314285,1.558144618
Ectotherms,Fishes,81,Drepaneidae,Ephippidae,0.356212667,0.301358889,0.014046222,0.010434444,3,15,-0.172449309,0.100433756,-0.297992922,0.055460738,1.609437912
Ectotherms,Fishes,82,Acanthuridae,Zanclidae,0.384187889,0.398607852,0.009222074,0.006279296,82,1,-0.049367398,0.257569401,0.097545526,1.003349668,4.406719247
