"ECO_CODE","Lat","Lon","AnnualTemp"
10101,-2.09781598254,146.937803169,26.4960117548279
81201,38.7549521516,24.7829806597,15.1233291384116
81301,35.2698905436,67.5687340422,3.45429185647745
30801,23.1673160084,57.4726455234,24.0590223705352
80801,41.0137109349,68.0285177121,13.6374469922044
81302,41.4706320787,101.574647091,6.49140393813494
51101,62.0747006209,-147.125939949,-5.12792715944071
50601,57.1266329166,-156.821789153,1.82111665874148
31201,-33.2947102573,24.5148380495,17.18738170347
50502,55.1431687049,-118.102371698,0.549296984400951
50501,52.84021162,-117.764985924,-1.27843147479435
30101,-2.24021293169,29.4609682061,19.3517621527062
31301,-9.39832064086,46.3673487927,26.0059880239521
51102,52.8789397178,-110.633164484,3.60307699383681
50401,41.9756538208,-77.1020448023,7.27803558383051
80501,46.4194466117,10.6029794651,4.57080990989564
81001,48.6539534345,88.0109259251,-3.28956330367529
80502,48.2461033997,90.0732584734,-1.51783926652014
80802,48.4715023647,82.5878164574,1.76194559046632
60150,-23.4892155255,-51.8762478701,21.2028882913475
61401,4.52719294570402,-56.1239576943,26.9147548714871
30802,-37.9644262627,77.5330120381,12.15
80901,48.7379516635,131.148090802,1.01731377835755
81202,39.0451018853,29.2396171775,11.9173149600822
40101,12.2916852356,92.7836136211,26.5673812022186
30701,-12.4747149569,18.1260002613,20.8771704531032
31001,-12.5707632725,15.0534640283,19.5840341655716
30702,-17.9383202011,15.4562122276,22.0149040344693
31002,-9.28065731844,13.7444780782,24.6173829128742
11101,-51.4575619362,166.797407026,6.16499202551834
50403,37.4656895627,-80.8457177765,11.5185324239379
50402,37.9023532949,-82.4571170345,11.6438507666723
80401,42.8758815074,12.5865150603,9.46219483659621
60201,7.01246280798335,-70.992831232,26.78728667139
81303,24.8837197374,46.0307582866,24.5072398727384
31302,16.9053039522,49.2971344832,27.3102051193394
60101,-26.4270747191,-51.2204831761,17.281065120333
61301,10.62106477,-63.4822454102,25.8955479452055
51103,70.3074506965,-142.204975425,-11.621453405444
81101,78.4850603094,52.5477134109,-11.5050083093501
51104,69.0484782271,-155.261615067,-10.4708515312425
50503,34.1599148556,-109.453551048,10.5094201530197
10701,-12.96588817,133.293892752,27.0394558222744
30703,-7.93747605613,-14.3631037254,25.2235294117647
61303,-22.3272543928,-69.6267388883,14.7246488917734
60102,-22.8772913955,-44.877228295,21.3514519731943
81304,22.1953841159,-15.7087288508,22.5647747982296
50504,40.2940251483,-73.4324572236,11.3275455438809
60202,-12.4546585597,-43.2759466781,23.9942663338161
30102,-0.295299526934,10.7944297039,24.5590001086642
80402,49.5869809941,3.29400454361456,10.2650221436151
11001,-36.6744737953,147.756530253,8.19198438217731
81305,40.3552906368,47.6581662201,13.524023796868
80403,38.3628912107,-27.343376478,15.7886864531296
81306,36.6274787288,64.5801673346,15.4108293754544
51105,70.2346512499,-68.8961843703,-12.6603474689527
61402,22.0757189742,-77.0491924014,25.4747243673806
60301,24.2006055097,-76.2908078451,25.1605331358756
60103,-16.7614580968,-39.9303127172,23.2876006647066
60104,-18.280034241,-42.010096736,21.6699376025342
51301,27.8269356055,-113.588913239,19.7415737614823
60204,20.4619835891,-102.061669976,18.8560441680961
80404,43.0003070422,23.8151482581,10.6573287675072
60205,18.4627945152,-100.156468432,24.6155706500482
80405,54.5516400255,13.5192508831,7.84377670280004
81307,30.088809658,68.2337934578,19.9459550584898
10102,-7.34558954292,130.925014247,26.6887053623357
60302,17.2130097605,-88.5646898071,24.9113234868231
60702,-13.677597861,-65.4819391116,25.8878776245069
81102,63.5016170112,168.630747718,-8.69397568421181
51106,61.0630454978,-161.088392226,-1.2197086439519
51107,62.8570116385,-162.105961096,-3.5650515505437
50301,32.3114318889,-64.7563246857,21.5348837209302
10103,-0.949124554684,135.811985785,26.2593215158924
50505,44.7372707373,-118.474975316,5.67701362839532
80902,38.0775395593,118.61161241,12.142750488831
60206,-18.8621222903,-65.395231707,15.7465492691392
60105,-15.7201081645,-67.0713561273,20.7548692437588
40102,0.999154861804268,114.119617937,25.8227269162791
