"ECO_CODE","Lat","Lon"
20192,-34.7091853597,22.4701240883
20053,52.0746212452,-26.4761936013
20072,-1.06453758666,-48.5221638425
20194,-38.3052851712,77.5272071715
20228,-73.8629713193,-109.257146777
20109,10.356658567,92.5097216461
20110,10.3395353824,97.8103906195
20223,-67.3501595643,-66.1784153059
20090,27.7696110134,51.1467968828
20178,-37.0478543527,-73.0676472908
20140,-14.7954359062,137.461422679
20139,-7.08369297113,137.736677554
20232,-51.3545251268,165.221103448
20029,34.779743014,-22.8065496413
25007,71.8383438502,-71.1218057593
20063,24.1436910822,-73.8194866033
20024,59.7624043637,21.9208087258
20131,-4.87343155068,126.370383459
20205,-42.0025933193,146.484530393
20011,69.9364970228,-111.760059839
20012,69.8021087007,-141.958444857
20062,32.2900896972,-64.7631552966
20134,-2.49751372582,146.144485741
20044,43.9481909931,35.1800558143
20141,-14.8912134453,127.773466769
25230,-48.9253155995,68.2977523874
20217,-54.4541810633,3.41682334389441
20231,-52.9066661565,169.62481358
20204,-37.3150644246,149.713906554
20079,16.051464828,-24.1844484877
20097,-12.6897237898,57.9315210006
25042,32.7455502972,-78.852655303
20026,53.7967480273,-8.30747832539
20177,-29.1160515878,-71.2076734707
20051,32.5028382124,135.846632812
25199,-41.377674029,168.517042599
20175,-8.90595696963,-78.8753205167
20093,6.00430801581113,49.0777837561
20106,-6.57535216911,71.9506991421
20187,-53.3932730272,-71.5449406223
25198,-43.9962431225,-174.467956263
20167,13.3502502321,-90.900812104
20188,-43.7598675044,-73.7246567445
20013,70.2223243132,-150.49226133
20165,10.372144407,-109.169365842
20120,-11.6591776818,100.706744401
20169,5.22330018075804,-87.3683645541
20150,-18.6619853182,152.114585732
20060,27.5020958263,-109.352572241
20215,-46.3277625112,51.2078835688
20102,-24.9073978894,34.2813885586
20124,6.59729359331118,152.982028104
20225,-66.7779505114,51.2415225914
20224,-67.5478935115,112.65528459
20226,-69.9360477363,22.6420876333
20052,29.4674707266,122.307974599
20003,68.9914891694,-30.4085061471
20015,72.5885600888,159.333103629
20163,-26.8411601184,-107.477169666
25014,61.3257234292,-130.528080954
20076,-18.3725673408,-38.9280363179
20064,16.2799452031,-61.2617807707
20173,-1.07706280758,-88.7964879779
20107,16.4391048,81.7629132709
20127,11.9009198561,124.864546508
20144,-18.8430492268,119.425038528
20021,62.6713655431,-7.1780075701
20074,-3.88058087821,-32.1817655872
25147,-18.6175918032,39.7521509213
20070,26.4670354004,-82.548502009
25154,-4.08248736835,146.802955549
20208,-31.7724760886,128.886779972
20171,-3.15807171386,-80.736605869
20071,6.5258138601175,-57.283715691
20089,11.5463114285,48.0850985659
20054,58.4334479985,-149.93434058
20083,4.82862704495824,6.64720692336577
20084,-1.02358861033,5.34654625425144
20082,4.85137820481258,-3.76659285106
25081,7.8185295251425,-12.776264741
25040,43.3988405659,-68.2238967795
20091,25.2848144001,60.6875104735
20138,-8.10971189316,144.031473555
20037,48.5439449077,-64.5316812433
20115,11.8790072949,101.992049053
20112,20.3551220491,106.104261934
20129,1.26152245448598,128.109561224
25152,22.685037304,-163.018750153
20213,-53.3721190887,73.7604748888
20211,-29.6889485254,114.566853692
20008,59.9621940222,-81.5015489635
20176,-18.1661840488,-72.5823276211
20179,-30.5368632352,-79.8921141645
25046,57.5657789344,160.286038905
20017,74.5393253196,81.424032608
20214,-49.0599162522,69.3208658798
25195,-30.388368308,-88.0038401243
25009,72.8111879885,-89.8470519232
20016,73.4044692277,122.959041304
20209,-34.662048727,118.385611657
20132,-9.92680608844,120.777560227
20155,0.0873299522575781,-157.981736053
20151,-30.3708715866,163.768681877
20212,-54.6536208761,158.893387589
20061,24.171929743,-112.98969053
20118,3.31689817455581,100.413505062
20105,4.96616751775593,72.679913763
20186,-51.6169561328,-59.0607829091
20203,-32.5748584032,152.370653829
20123,16.872592138,145.265799748
20158,-16.8702307283,-143.817035059
20153,11.7635711255,167.611640834
20098,-20.3993175613,59.2123050415
20166,17.4130754578,-102.428775737
20191,-29.7235903588,16.3570379132
25190,-20.3622498011,13.1011891466
20193,-31.3856420557,30.0840485073
20149,-21.2502992067,163.021134645
20168,7.95119081954764,-84.5699131757
20145,-21.9348810283,112.603441027
25055,55.1609919204,-131.259105937
20001,81.3186629202,-36.9861162112
25184,-42.8888386032,-65.5638972972
20133,-0.367241205069,121.859255382
20075,-7.04721083576,-37.0511754955
20048,38.6179461058,142.56890751
25196,-36.357306306,100.073472708
20087,25.1762443453,35.7194823812
20108,20.3572572775,93.2893865499
25058,37.0967963479,-122.299008822
20172,2.90056873096928,-91.9791568757
20005,52.2393425587,-55.5000120993
20043,29.0919591211,-92.1994199097
20006,61.644349115,-63.2959627977
20122,25.9926347072,145.619878534
25057,45.1948514249,-125.206739865
20047,46.3509476642,151.475025652
20126,6.37463237119019,118.038161544
20170,3.44714614695808,-78.9135959901
20130,-1.09665095747,135.761567826
25185,-49.1199244132,-65.0475574573
20218,-68.069782571,-90.575729334
20156,-6.438645546,-169.006337201
20216,-46.8390129654,37.7968513171
25056,48.8948251029,-121.662338023
20159,-25.9207179499,-133.301460624
20164,18.3340129271,-113.170366422
20182,-32.9805669903,-58.3867752442
20181,-30.9969631634,-51.0044217741
20229,-81.995287991,-45.1813937519
20028,27.8952575285,-11.9455025555
20157,-13.9613982583,-173.258922241
20073,0.35335558435319,-29.8710024994
20039,42.8607221673,-62.1873864228
20049,43.3756702734,134.667901594
20045,58.2657953881,147.838323568
20096,-6.94663661652,52.2533980016
20210,-25.7559030831,113.378746028
20201,-48.3557153276,166.313918375
